hyoid_data.tx,hyoid_data.ty,hyoid_data.tz,hyoid_data.rx,hyoid_data.ry,hyoid_data.rz
2.297188557,-0.349681571,1.463592719,33.08208123,44.47511553,31.18046904
2.296682696,-0.3497741203,1.464913186,32.86198747,44.57651775,31.05177282
2.296235374,-0.3499432477,1.466373234,32.65216722,44.67796958,30.92686897
2.295838242,-0.3501276121,1.468004693,32.45027676,44.78054753,30.79994397
2.295476064,-0.3502673822,1.469808696,32.25169309,44.88536123,30.66613571
2.295145112,-0.3503885988,1.47176265,32.0556068,44.99207128,30.52777344
2.294841774,-0.3505160295,1.473842103,31.86122363,45.10036369,30.38720164
2.294562569,-0.3506733359,1.476020697,31.66776623,45.20994904,30.24678149
2.294304157,-0.3508831704,1.478270123,31.47447516,45.32056208,30.10889185
2.294063363,-0.3511672017,1.480560108,31.28060875,45.43196179,29.97592936
2.293837189,-0.3515460688,1.482858398,31.08544214,45.54393195,29.850308
2.29362283,-0.3520392633,1.485130768,30.88826531,45.65628202,29.73445776
2.293417691,-0.3526649389,1.487341027,30.68838011,45.76884856,29.63082255
2.293219392,-0.3534396483,1.489451043,30.48509647,45.8814969,29.54185723
2.29301805,-0.3544239644,1.491526967,30.27876036,45.99504086,29.46911504
2.292811184,-0.3556369177,1.493645474,30.07050013,46.11033735,29.41089473
2.292607552,-0.3570319361,1.495784,29.86079451,46.2273207,29.36476964
2.292415702,-0.3585634003,1.497921452,29.6501146,46.34589956,29.32830732
2.292243929,-0.3601868253,1.500038056,29.43892692,46.46595615,29.29907172
2.292100254,-0.3618589975,1.502115264,29.22769568,46.58734573,29.27462489
2.291992422,-0.3635380669,1.504135719,29.01688419,46.70989643,29.25252833
2.291927908,-0.3651835911,1.506083274,28.80695558,46.83340934,29.23034373
2.29191394,-0.3667565318,1.507943078,28.59837274,46.95765897,29.20563332
2.29195753,-0.3682191998,1.509701706,28.39159745,47.0823938,29.1759595
2.29206551,-0.36953515,1.511347351,28.18708884,47.20733716,29.13888396
2.2922323,-0.3708091644,1.512834557,27.9813929,47.33307166,29.10012575
