C1P2T10_susp_data.tx,C1P2T10_susp_data.ty,C1P2T10_susp_data.tz,C1P2T10_susp_data.rx,C1P2T10_susp_data.ry,C1P2T10_susp_data.rz
1.291461701,1.248323066,2.082684089,5.657882687,16.26607572,43.3828882
1.290975018,1.247597944,2.082084854,5.661121759,16.25564762,43.40248441
1.290471579,1.246853117,2.081435895,5.667339017,16.24190508,43.4195241
1.289840741,1.246002224,2.080707636,5.672656367,16.22554177,43.44103308
1.289178421,1.245136135,2.079956932,5.67788495,16.20836345,43.46303322
1.288580347,1.244345833,2.079240297,5.683844516,16.1921744,43.48154417
1.288142059,1.243722412,2.078613986,5.691362355,16.17877793,43.49258288
1.287786661,1.243169647,2.07796977,5.700684541,16.1672311,43.49706015
1.287399671,1.242567408,2.077215744,5.710997469,16.15564062,43.49901112
1.287020007,1.241970918,2.076432671,5.72154209,16.14438473,43.49913662
1.286686457,1.241435189,2.075701423,5.731559553,16.13384185,43.49813743
1.286437673,1.241015024,2.075102947,5.740290994,16.12439038,43.49671422
1.286260965,1.240704038,2.074582542,5.746981312,16.1179128,43.49162044
1.286116579,1.240451533,2.074053374,5.752136044,16.11472196,43.48111038
1.286002476,1.240245845,2.073548106,5.756888569,16.1128428,43.46814019
1.285916653,1.240075478,2.073099109,5.762375504,16.11030215,43.45567201
1.285857129,1.239929114,2.07273841,5.769737452,16.10512886,43.44667433
1.285925248,1.239936435,2.07252203,5.777894848,16.09892902,43.43641863
1.286159852,1.240156141,2.072441466,5.78556041,16.09398493,43.42048882
1.286465355,1.240470517,2.072431617,5.793567764,16.08934051,43.40232998
1.286746401,1.240761642,2.07242714,5.802755372,16.08403893,43.38539203
1.286907884,1.240911365,2.072362465,5.813966851,16.07712205,43.37312984
1.287096132,1.241126038,2.072363398,5.827339323,16.06994747,43.36129252
1.287447188,1.241581159,2.072529283,5.842101059,16.06386626,43.34536785
1.28785089,1.242111739,2.072754881,5.857736117,16.05790541,43.32842383
1.288197416,1.242552079,2.072935147,5.87373217,16.05108633,43.31353198
1.288377274,1.242735768,2.072965261,5.889579842,16.04242444,43.30376685
1.288409052,1.242705835,2.072905465,5.906095395,16.03187792,43.29921728
1.288388793,1.242619894,2.07287611,5.924100992,16.02018508,43.29757457
1.288323383,1.242482929,2.072862772,5.943095359,16.00752694,43.29831717
1.288219714,1.242299814,2.072851099,5.96257632,15.99408443,43.30092212
1.288084688,1.2420753,2.07282678,5.982041069,15.98003859,43.30486501
1.287925217,1.241814022,2.072775522,6.000986404,15.96557073,43.30961996
1.287748227,1.241520502,2.072683034,6.018908917,15.95086249,43.31465974
1.287560657,1.241199157,2.072535019,6.035305155,15.93609581,43.31945586
1.287369464,1.240854331,2.072317172,6.04967174,15.92145285,43.32347874
1.287128616,1.240419792,2.072076715,6.066676133,15.90387392,43.32710622
1.286816201,1.23987128,2.071849921,6.088722934,15.88214401,43.3310864
1.286475334,1.239275468,2.071606286,6.111912399,15.85921038,43.33543867
1.286149111,1.238698224,2.071315607,6.132342363,15.838018,43.34017532
1.285880615,1.23820467,2.070947942,6.146108897,15.82151008,43.34530235
1.285621415,1.237683618,2.070444994,6.156328606,15.8067265,43.35121835
1.285315604,1.237037619,2.069812044,6.167459057,15.79000591,43.35800564
1.284994936,1.236351765,2.069114812,6.177607174,15.77323841,43.36519103
1.284691055,1.23571086,2.068419234,6.184880883,15.75831438,43.37230158
1.284435489,1.235199412,2.067791468,6.187389067,15.74712438,43.37886439
1.284208545,1.234751181,2.067146065,6.183267467,15.73930819,43.38624365
1.283973713,1.234258811,2.066379053,6.172906256,15.73313474,43.39566761
1.283737157,1.233745038,2.06552892,6.157797071,15.72843877,43.40645935
1.283504965,1.233232665,2.0646342,6.139432215,15.72505493,43.41794257
1.283283129,1.232744468,2.063733538,6.119304163,15.72281704,43.42944114
1.283077543,1.232303138,2.062865721,6.098905229,15.7215577,43.44027875
1.282894004,1.231931278,2.062069685,6.079727392,15.72110817,43.44977881
1.28273822,1.231651433,2.061384486,6.063262267,15.72129865,43.45726449
