frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
21,4.75306964,3.33881292,-1.072825827,4.820684196,3.400351333,-0.8872759578,4.556336781,2.762086576,-0.8386453812,4.388680871,2.419080641,-0.543908989,4.54460812,2.672498901,-0.9594463877,4.64554312,2.900790253,-0.8716021314,4.76099088,2.980349163,-0.7371591953,4.385577497,2.574713161,-1.342992046,4.531138077,2.728771815,-1.413508377,4.750353861,3.109484895,-1.224337813,4.593754239,2.766001961,-0.1142058806,4.66364427,3.010491987,-1.369685067,4.440355104,2.630275876,-1.772810459,4.785144211,3.167256335,-1.336068994,4.737761487,3.122749935,-1.453780589,5.342689843,4.084750176,-0.2155631082,5.315078405,4.091792803,-0.5786330468
22,4.751964604,3.332198181,-1.0640067,4.819320896,3.393615563,-0.878231347,4.554842447,2.755290416,-0.8301409974,4.386192976,2.413122583,-0.5357190668,4.542890858,2.665837446,-0.95098527,4.643273935,2.894733956,-0.8630792955,4.759730847,2.973847568,-0.7286053079,4.384701931,2.569147342,-1.335091808,4.52996722,2.722564003,-1.405195686,4.749463978,3.103129755,-1.214992158,4.59096305,2.758316784,-0.1045750279,4.663083116,3.003708639,-1.360873562,4.439882878,2.624297297,-1.764833477,4.783596891,3.160780007,-1.327492711,4.73700262,3.116624497,-1.445086361,5.340686774,4.077491865,-0.2054018149,5.31347293,4.084450507,-0.5687411466
23,4.750895104,3.32550607,-1.055112195,4.817977138,3.386806163,-0.8691058218,4.553313359,2.74845943,-0.8216071684,4.383759549,2.406872343,-0.5275213277,4.541275678,2.65908142,-0.9424846663,4.641392684,2.888463524,-0.854504825,4.758306607,2.967147215,-0.7198976083,4.383946047,2.563322086,-1.327058476,4.528844037,2.71619062,-1.396684698,4.748562885,3.096640701,-1.205839311,4.588243392,2.750678194,-0.09519375408,4.662471075,2.997199354,-1.352274159,4.439467113,2.61824497,-1.756780753,4.782136823,3.154299477,-1.318780808,4.736287729,3.110308548,-1.435810052,5.338774061,4.070120823,-0.1951394859,5.311972156,4.077128244,-0.5587299912
24,4.749875837,3.318712879,-1.046191301,4.816633985,3.379926135,-0.8599123508,4.551700509,2.741611952,-0.8130346435,4.381266825,2.400297937,-0.5193455425,4.539693581,2.652239664,-0.933925286,4.639951433,2.882015475,-0.845894147,4.75674211,2.960128747,-0.7110207363,4.38337048,2.557281023,-1.318879465,4.527676062,2.709622532,-1.387899575,4.747614116,3.090038082,-1.197013694,4.585559413,2.743031658,-0.08607584256,4.661867077,2.991114211,-1.344006605,4.439070422,2.612146622,-1.748667229,4.780509005,3.147839774,-1.309996497,4.735583144,3.103861245,-1.426151915,5.336923304,4.062617045,-0.1848245492,5.310534887,4.069744607,-0.5486629108
25,4.748931052,3.311830088,-1.037331376,4.815307505,3.372979526,-0.8507172927,4.550016823,2.734740998,-0.8044996067,4.378644947,2.393449699,-0.5113150157,4.538076284,2.645338966,-0.9253876605,4.638888919,2.875467816,-0.8373358415,4.755126892,2.95277397,-0.7020761482,4.382982573,2.551174193,-1.310681724,4.526393731,2.702925778,-1.378936287,4.746619104,3.083386754,-1.188591038,4.582899244,2.735249626,-0.07723348405,4.66136568,2.985497634,-1.336147989,4.438651668,2.606107011,-1.740614321,4.778539081,3.141435406,-1.301275608,4.7348727,3.097405742,-1.416462767,5.335146065,4.054911877,-0.1745129412,5.309149953,4.062162177,-0.5386071729
26,4.748055598,3.304882555,-1.028537616,4.814023585,3.365960251,-0.8415491677,4.548311788,2.72782163,-0.7960585118,4.375965047,2.386368163,-0.5034746094,4.536453703,2.638382041,-0.9169419044,4.638130886,2.868810161,-0.8288645243,4.753482384,2.945177479,-0.6931350331,4.382714223,2.545039315,-1.302549071,4.525047939,2.69615614,-1.369923977,4.745610083,3.076695636,-1.180499819,4.580292318,2.727314459,-0.0686746287,4.660959902,2.980236362,-1.328633638,4.438222168,2.600151236,-1.732678251,4.776373584,3.135073016,-1.292633632,4.734175168,3.090941923,-1.406734543,5.333477041,4.046978259,-0.164193551,5.307852723,4.054380613,-0.5285416285
27,4.747221075,3.297875468,-1.019752906,4.812779311,3.358861014,-0.8323779473,4.546615809,2.720826814,-0.7876565674,4.373277717,2.379115487,-0.4957300994,4.534841285,2.631358144,-0.908539028,4.637582366,2.862028799,-0.82041506,4.751805085,2.937445118,-0.6841721848,4.382494016,2.53886242,-1.294442136,4.52368568,2.689313967,-1.360878539,4.744603233,3.069939683,-1.172585055,4.577730826,2.719274154,-0.06029459927,4.660631849,2.975168022,-1.321308955,4.437799459,2.594213876,-1.724795772,4.774145216,3.1286954,-1.284006769,4.733498956,3.084414457,-1.396877627,5.331893848,4.038860015,-0.153846356,5.306630329,4.046436354,-0.5184378135
28,4.746398612,3.290815469,-1.010919039,4.811571386,3.351676044,-0.8231724654,4.544958688,2.713730859,-0.7792377628,4.370632923,2.371754918,-0.4879856985,4.533253929,2.624257947,-0.9001288132,4.637147774,2.855111571,-0.8119216663,4.750091349,2.929684276,-0.6751607792,4.382249985,2.532631193,-1.286320783,4.522353681,2.682401277,-1.35181447,4.743613736,3.063094835,-1.16469062,4.575206313,2.71117799,-0.05198729787,4.660362343,2.970131235,-1.314018962,4.437400331,2.588230855,-1.716902657,4.771986015,3.122246397,-1.275329771,4.732851609,3.077769451,-1.38680142,5.330373969,4.030602606,-0.1434500643,5.305469721,4.038367392,-0.5082659674
29,4.745558883,3.283710626,-1.001976713,4.810396149,3.344401079,-0.813900414,4.543369631,2.70650937,-0.7707448677,4.368080048,2.364350698,-0.4801439645,4.53170599,2.617073492,-0.8916598087,4.636730935,2.84804787,-0.8033178463,4.748337429,2.922003875,-0.6660722968,4.38190961,2.526334972,-1.278144106,4.521098392,2.675421768,-1.342744862,4.742655816,3.056137858,-1.156659268,4.572709733,2.703076396,-0.04364515094,4.660130906,2.96496546,-1.306608492,4.437040805,2.582139391,-1.708933762,4.770027349,3.115670808,-1.266536015,4.732239787,3.070954469,-1.37641437,5.328894802,4.022253111,-0.1329820435,5.304357714,4.030213262,-0.4979949787
30,4.744672094,3.276570464,-0.9928655222,4.809249565,3.337033382,-0.804528308,4.541877235,2.699139257,-0.7621193781,4.365667877,2.356968072,-0.4721057437,4.530211268,2.609798205,-0.8830792935,4.636235066,2.8408287,-0.7945363242,4.746539468,2.914514391,-0.6568765357,4.381399809,2.519964771,-1.269870419,4.519965991,2.668380826,-1.333681365,4.741742717,3.049046339,-1.148332593,4.57023145,2.695020931,-0.03515909025,4.659915717,2.95951101,-1.298922206,4.436736115,2.575878012,-1.700823,4.76839989,3.10891441,-1.257557448,4.731669216,3.06391865,-1.365623912,5.327433673,4.013860261,-0.1224182675,5.30328099,4.022015072,-0.4875923384
