T1P1T17_inf_data.tx,T1P1T17_inf_data.ty,T1P1T17_inf_data.tz,T1P1T17_inf_data.rx,T1P1T17_inf_data.ry,T1P1T17_inf_data.rz
4.144522866,0.2069471238,-1.025622784,6.237386706,-29.10758878,51.15167426
4.144568746,0.2057838663,-1.025644262,6.241582198,-29.10896739,51.06602746
4.144704325,0.2046382148,-1.025708782,6.253946994,-29.1130801,50.98151365
4.144926514,0.2035104123,-1.025816474,6.274148574,-29.11989223,50.89802934
4.145232223,0.2024007017,-1.025967466,6.301854418,-29.12936909,50.81547105
4.145618361,0.2013093263,-1.026161888,6.336732007,-29.141476,50.73373528
4.146081839,0.2002365291,-1.026399869,6.378448821,-29.15617826,50.65271856
4.146619566,0.1991825531,-1.026681538,6.426672341,-29.1734412,50.57231739
4.147228454,0.1981476414,-1.027007024,6.481070046,-29.19323012,50.49242828
4.147905411,0.1971320371,-1.027376456,6.541309417,-29.21551035,50.41294775
4.148647348,0.1961359833,-1.027789964,6.607057934,-29.24024719,50.33377231
4.149451174,0.195159723,-1.028247676,6.677983077,-29.26740597,50.25479847
4.150313801,0.1942034993,-1.028749723,6.753752327,-29.29695198,50.17592275
4.151232138,0.1932675553,-1.029296232,6.834033164,-29.32885056,50.09704166
4.152203094,0.192352134,-1.029887333,6.918493068,-29.36306701,50.01805171
4.15322358,0.1914574785,-1.030523155,7.00679952,-29.39956665,49.93884941
4.154290507,0.1905838319,-1.031203827,7.09862,-29.4383148,49.85933128
4.155400783,0.1897314372,-1.031929479,7.193621988,-29.47927676,49.77939383
4.15655132,0.1889005376,-1.03270024,7.291472964,-29.52241785,49.69893357
4.157739026,0.1880913761,-1.033516238,7.391840409,-29.56770339,49.61784701
4.158960813,0.1873041957,-1.034377604,7.494391802,-29.61509868,49.53603067
4.16021359,0.1865392396,-1.035284465,7.598794625,-29.66456905,49.45338106
4.161494267,0.1857967507,-1.036236951,7.704716358,-29.71607981,49.36979469
4.162799754,0.1850769723,-1.037235192,7.81182448,-29.76959628,49.28516807
4.164126962,0.1843801473,-1.038279317,7.919786472,-29.82508376,49.19939772
4.1654728,0.1837065188,-1.039369454,8.028269815,-29.88250757,49.11238016
4.166834178,0.1830563298,-1.040505732,8.136941988,-29.94183303,49.02401188
4.168208006,0.1824298236,-1.041688282,8.245470472,-30.00302545,48.93418941
4.169591195,0.1818272431,-1.042917232,8.353522747,-30.06605015,48.84280925
