C2P1T04_hyoid_data.tx,C2P1T04_hyoid_data.ty,C2P1T04_hyoid_data.tz,C2P1T04_hyoid_data.rx,C2P1T04_hyoid_data.ry,C2P1T04_hyoid_data.rz
2.317256564,0.5867182092,0.9686468716,53.50076268,36.71131189,65.50042749
2.316812325,0.5867620402,0.9689226495,53.43469241,36.71663656,65.5406026
2.316402315,0.5868226255,0.9691270728,53.3772245,36.72038179,65.57858913
2.316053365,0.5869074764,0.9691326031,53.33324405,36.72107046,65.61191882
2.31579017,0.5870090768,0.9690635982,53.30644371,36.71866378,65.64366211
2.315599762,0.5871165323,0.969095809,53.29419032,36.71443037,65.67753099
2.315452815,0.5872318938,0.9691796708,53.29187746,36.7088569,65.71202354
2.315320135,0.5873570487,0.9692662819,53.2949014,36.70243684,65.74564086
2.315172571,0.587493844,0.9693071482,53.29866105,36.69566832,65.77688468
2.314980975,0.5876441257,0.9692540504,53.29855773,36.68905275,65.80425661
2.31478504,0.5878200685,0.9691262915,53.30213709,36.68141775,65.82739038
2.314634849,0.5880293891,0.9689767459,53.31808295,36.67161762,65.84725078
2.314516832,0.5882672532,0.9688078254,53.34350732,36.6601987,65.86433696
2.314417392,0.5885288655,0.968621908,53.37552365,36.64770851,65.87914818
2.314322891,0.5888094731,0.9684211967,53.4112455,36.63469323,65.89218308
2.314219664,0.5891043654,0.9682076293,53.44778572,36.62169597,65.9039392
2.314094013,0.5894088709,0.9679828417,53.48225592,36.60925593,65.91491283
2.313932221,0.589718348,0.9677481832,53.5117664,36.59790847,65.925599
2.313720558,0.590028172,0.9675047837,53.53342643,36.58818599,65.93649197
2.313445301,0.5903337166,0.9672536738,53.54434485,36.58061968,65.94808585
2.313092751,0.59063033,0.9669959562,53.54163117,36.5757422,65.9608756
2.312677689,0.5910055583,0.966879818,53.52952938,36.57702397,65.97413964
2.312229833,0.5915038558,0.9669690303,53.5146163,36.58517821,65.98697235
2.311757946,0.5920559039,0.9671384352,53.49749942,36.59660489,65.99959285
2.311270806,0.5925923224,0.9672631977,53.47878344,36.60770452,66.01222
2.310777211,0.5930436417,0.9672188387,53.45907059,36.61487822,66.025073
2.310286023,0.5933403478,0.9668811804,53.43895997,36.61452724,66.03837119
2.309803913,0.5934836493,0.9663237191,53.42587458,36.60874967,66.05579871
2.309325486,0.5935436197,0.9657090017,53.42295838,36.60200187,66.07874978
2.308841693,0.593553921,0.9650468615,53.42438963,36.59422525,66.10401071
2.308343579,0.5935480817,0.964347528,53.42434813,36.58536795,66.12837002
2.307822288,0.5935595004,0.9636216488,53.41701607,36.57538568,66.14861886
2.307269129,0.5936213521,0.9628803175,53.39657901,36.56424035,66.16155339
2.306642376,0.5936956841,0.9620298284,53.35999168,36.55153308,66.16752452
2.305920581,0.5937287263,0.9609967899,53.30987487,36.53710262,66.16948554
2.305125654,0.5937296448,0.9598230345,53.24891648,36.52126889,66.16814228
2.304279401,0.5937076706,0.9585501284,53.17980395,36.50434946,66.16419817
2.303403429,0.59367218,0.9572192184,53.1052236,36.48665843,66.15835188
2.30251909,0.5936327525,0.9558709245,53.02785998,36.46850569,66.15129568
2.301647443,0.5935992081,0.9545452782,52.95039559,36.4501965,66.14371442
2.300809238,0.5935816226,0.953281707,52.87551068,36.43203154,66.13628526
