T1P1T17_ope_data.tx,T1P1T17_ope_data.ty,T1P1T17_ope_data.tz,T1P1T17_ope_data.rx,T1P1T17_ope_data.ry,T1P1T17_ope_data.rz
-0.1813455738,1.42075364,-1.900118488,5.486964939,-4.305749887,18.71176706
-0.1815166148,1.420856295,-1.90184353,5.448676536,-4.281542858,18.70467123
-0.1816907983,1.420949445,-1.903578793,5.409972371,-4.257403221,18.69795947
-0.1818677021,1.421034406,-1.90532359,5.370931178,-4.233362656,18.69160722
-0.182046904,1.42111249,-1.907077236,5.33163169,-4.209452844,18.68558989
-0.1822279819,1.421185009,-1.908839043,5.292152639,-4.185705464,18.67988293
-0.1824105137,1.421253279,-1.910608325,5.252572759,-4.162152198,18.67446174
-0.1825940772,1.421318611,-1.912384396,5.212970781,-4.138824725,18.66930177
-0.1827782504,1.421382319,-1.914166569,5.173425438,-4.115754725,18.66437843
-0.182962611,1.421445717,-1.915954159,5.134015464,-4.092973879,18.65966716
-0.183146737,1.421510117,-1.917746478,5.094819591,-4.070513867,18.65514339
-0.1833302061,1.421576833,-1.919542841,5.055916551,-4.048406369,18.65078254
-0.1835125963,1.421647179,-1.92134256,5.017385078,-4.026683065,18.64656004
-0.1836934854,1.421722467,-1.92314495,4.979303904,-4.005375636,18.64245131
-0.1838724514,1.42180401,-1.924949324,4.941751762,-3.984515761,18.63843179
-0.1840490719,1.421893123,-1.926754996,4.904807385,-3.964135122,18.63447691
-0.184222925,1.421991118,-1.928561279,4.868549506,-3.944265397,18.63056208
-0.1843935885,1.422099308,-1.930367487,4.833056856,-3.924938268,18.62666274
-0.1845606402,1.422219007,-1.932172934,4.798408169,-3.906185414,18.62275432
-0.184723658,1.422351529,-1.933976932,4.764682178,-3.888038516,18.61881224
-0.1848822198,1.422498186,-1.935778797,4.731957616,-3.870529254,18.61481193
-0.1850359034,1.422660291,-1.937577841,4.700313214,-3.853689308,18.61072882
-0.1851842867,1.422839159,-1.939373378,4.669827707,-3.837550358,18.60653834
-0.1853269476,1.423036102,-1.941164722,4.640579826,-3.822144085,18.60221591
-0.1854634639,1.423252433,-1.942951186,4.612648304,-3.807502168,18.59773696
-0.1855934135,1.423489466,-1.944732084,4.586111875,-3.793656289,18.59307692
-0.1857163743,1.423748514,-1.946506729,4.56104927,-3.780638127,18.58821122
-0.185831924,1.424030891,-1.948274436,4.537539223,-3.768479362,18.58311529
-0.1859396407,1.424337909,-1.950034517,4.515660466,-3.757211675,18.57776454
-0.1860391021,1.424670882,-1.951786287,4.495491732,-3.746866745,18.57213442
-0.1861298861,1.425031123,-1.953529058,4.477111754,-3.737476254,18.56620034
-0.1862115706,1.425419946,-1.955262145,4.460599265,-3.729071881,18.55993774
-0.1862837334,1.425838663,-1.956984861,4.446032997,-3.721685306,18.55332204
-0.1863459524,1.426288588,-1.95869652,4.433491683,-3.71534821,18.54632868
-0.1863978054,1.426771035,-1.960396436,4.423054055,-3.710092273,18.53893307
-0.1864388704,1.427287316,-1.962083921,4.414798847,-3.705949174,18.53111064
-0.1864687252,1.427838745,-1.96375829,4.408804791,-3.702950595,18.52283683
-0.1864869476,1.428426635,-1.965418856,4.405150621,-3.701128216,18.51408707
-0.1864931156,1.4290523,-1.967064933,4.403915067,-3.700513716,18.50483677
-0.1864930553,1.429712159,-1.96870155,4.405921469,-3.702016803,18.4955357
-0.1864926331,1.430401323,-1.970334204,4.411859131,-3.706474855,18.48662835
-0.1864914871,1.431119142,-1.971962908,4.42160574,-3.713811059,18.4780822
-0.1864892556,1.431864962,-1.973587678,4.435038981,-3.723948602,18.46986476
-0.1864855765,1.432638134,-1.975208529,4.452036541,-3.736810672,18.4619435
-0.1864800881,1.433438006,-1.976825474,4.472476106,-3.752320455,18.45428592
-0.1864724284,1.434263925,-1.978438528,4.496235361,-3.770401138,18.44685953
-0.1864622356,1.435115242,-1.980047705,4.523191993,-3.790975909,18.4396318
-0.1864491478,1.435991305,-1.981653022,4.553223688,-3.813967954,18.43257024
-0.1864328031,1.436891462,-1.983254491,4.586208131,-3.839300461,18.42564233
-0.1864128397,1.437815061,-1.984852127,4.622023009,-3.866896616,18.41881557
-0.1863888957,1.438761453,-1.986445945,4.660546008,-3.896679607,18.41205745
-0.1863606091,1.439729984,-1.988035959,4.701654813,-3.92857262,18.40533547
-0.1863276182,1.440720005,-1.989622185,4.745227111,-3.962498844,18.39861712
-0.186289561,1.441730862,-1.991204636,4.791140588,-3.998381464,18.39186988
-0.1862460757,1.442761906,-1.992783327,4.839272929,-4.036143668,18.38506127
