frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
21,8.302838735,2.323488177,-0.07246652593,8.240278596,2.111952669,-0.03104679318,7.984860987,2.074560541,0.0396778359,NaN,NaN,NaN,7.409522423,1.665060766,-0.4459484545,8.60179788,2.40374798,-0.5469790928,8.463550288,2.310567318,-0.2566851533,8.287078875,2.20870879,-0.6028509352,7.925875933,1.904694522,0.1843545635,8.03112217,2.043251307,-0.5629611982,8.362132568,2.147875278,0.6570209453,8.006048258,2.049125776,-0.6930045762,7.909285664,1.964433193,-0.2321466687,7.953778783,1.847430154,0.6221515445,8.271449514,2.081386812,0.6858118394,8.41730254,2.190119878,0.5206199287,8.04796408,2.014031697,-0.2855325246
22,8.298992578,2.32254219,-0.07257172416,8.236472745,2.110970909,-0.03106439922,7.981041116,2.073606434,0.03962874794,NaN,NaN,NaN,7.405801625,1.663802729,-0.4459374912,8.597855851,2.402622434,-0.5471944281,8.459691855,2.309605291,-0.2567983982,8.283278925,2.207591529,-0.6030400623,7.922121789,1.903703333,0.1846078299,8.027274638,2.042006579,-0.5630469826,8.358091744,2.14718574,0.6570326327,8.002350718,2.048060717,-0.6930573434,7.905398317,1.963379109,-0.2320391666,7.950141319,1.846663684,0.6222433119,8.267784412,2.080443853,0.6860213447,8.413440871,2.189395762,0.5203926461,8.044269511,2.012870337,-0.285386949
23,8.295142054,2.321599964,-0.07268989789,8.232662487,2.109996195,-0.03109842687,7.977218553,2.072653413,0.03956570875,NaN,NaN,NaN,7.402077444,1.662552789,-0.4459291743,8.593901345,2.40151623,-0.5474173665,8.455830805,2.308643424,-0.2569239255,8.27947829,2.206480732,-0.603222915,7.91835832,1.902720478,0.1848307578,8.023423845,2.040779698,-0.5631406033,8.354045317,2.146508729,0.6570219257,7.998644527,2.046991328,-0.6931196006,7.901513262,1.962327537,-0.2319520293,7.94649463,1.845897253,0.6223136569,8.264108143,2.079515348,0.6862060317,8.409576099,2.18867084,0.5201719672,8.040571812,2.011711294,-0.2852506549
24,8.291287002,2.320661996,-0.07282158817,8.228847734,2.109028543,-0.03114947716,7.97339277,2.071702234,0.03948792429,NaN,NaN,NaN,7.398349834,1.661311472,-0.4459256402,8.58994233,2.400428423,-0.5476459458,8.451967301,2.307683424,-0.2570625146,8.275676378,2.20537716,-0.6034017867,7.914586365,1.901745932,0.1850214404,8.019568608,2.039570757,-0.5632437347,8.349994382,2.145843866,0.6569873003,7.99493037,2.045919947,-0.6931921761,7.897629187,1.961280415,-0.2318874186,7.942837855,1.845130649,0.6223622142,8.260420527,2.078600184,0.6863645404,8.405707634,2.187945303,0.5199536609,8.036870496,2.0105553,-0.2851248237
25,8.287427261,2.319728792,-0.07296735803,8.2250284,2.108067978,-0.03121817249,7.969563241,2.070753664,0.03939457837,NaN,NaN,NaN,7.394618749,1.660079309,-0.4459290478,8.585986775,2.399358082,-0.547878223,8.448101508,2.306727008,-0.2572149689,8.271872598,2.20428158,-0.6035789939,7.910806768,1.900779677,0.1851779501,8.015707742,2.038379853,-0.5633580739,8.345940038,2.145190778,0.6569272137,7.991208933,2.044848926,-0.6932759227,7.89374478,1.960239688,-0.2318475206,7.939170135,1.844363668,0.622388599,8.256721385,2.077697252,0.6864954914,8.401834887,2.187219346,0.5197334753,8.033165072,2.009403089,-0.2850106601
26,8.283569901,2.318809921,-0.07313021798,8.22120877,2.107124812,-0.03130617724,7.965741067,2.069813848,0.03928797349,NaN,NaN,NaN,7.390892488,1.658858358,-0.445914571,8.581944506,2.398331755,-0.5481391144,8.444241644,2.305774244,-0.2573835963,8.2680807,2.203195945,-0.6037192096,7.907022643,1.89982845,0.1853303723,8.011855727,2.037225793,-0.5634700534,8.341873001,2.144588065,0.6568435891,7.987472468,2.043772789,-0.6933686265,7.889870598,1.959196882,-0.2318129949,7.935511986,1.843616561,0.6223934106,8.253026419,2.076840839,0.6866029588,8.397968089,2.186518573,0.519538291,8.02946493,2.00825538,-0.2848993407
27,8.27971919,2.317910387,-0.07331070522,8.217390663,2.10620484,-0.03141394307,7.961933703,2.068884653,0.03917048359,NaN,NaN,NaN,7.387175734,1.657650518,-0.4458639692,8.577738609,2.397370399,-0.5484478842,8.440392749,2.304822737,-0.257568223,8.264310666,2.202122199,-0.6037930436,7.903234112,1.898894424,0.1855023648,8.008023603,2.036123756,-0.563568178,8.337783741,2.144059931,0.6567396004,7.983713472,2.042687083,-0.6934679371,7.886014099,1.958143024,-0.2317676132,7.931877865,1.842899895,0.6223761758,8.249346042,2.076052458,0.6866911468,8.394113845,2.185857603,0.5193923854,8.025776233,2.007111543,-0.2847835063
28,8.275870766,2.317023937,-0.07350589528,8.213570296,2.105301392,-0.03154049524,7.958135157,2.06796051,0.03904118072,NaN,NaN,NaN,7.383463019,1.656456147,-0.4457895139,8.57339695,2.396464822,-0.5487943368,8.436550218,2.303870605,-0.2577661609,8.26055625,2.201061177,-0.6038119568,7.899437532,1.897970794,0.1856821417,8.004205035,2.035068479,-0.5636574909,8.333673004,2.14358449,0.6566153885,7.979932998,2.041595766,-0.6935747369,7.882169316,1.957079369,-0.2317184606,7.928257827,1.84219901,0.6223347029,8.245672152,2.075311902,0.6867586641,8.390266147,2.185220237,0.5192873987,8.022093657,2.00597036,-0.2846667938
29,8.272020279,2.316144425,-0.07371315914,8.209743896,2.104407897,-0.03168515379,7.954339445,2.067035942,0.03889884557,NaN,NaN,NaN,7.379748877,1.655275669,-0.4457037859,8.5689474,2.39560598,-0.5491685773,8.432709448,2.302916068,-0.2579750293,8.256811212,2.200013795,-0.6037877292,7.895629264,1.897050815,0.1858576288,8.000393691,2.03405479,-0.5637433467,8.329541558,2.143139964,0.6564708444,7.976132097,2.040502894,-0.6936902231,7.878330287,1.95600725,-0.2316729304,7.924641939,1.841499321,0.622266539,8.241996665,2.074599041,0.6868038508,8.386419007,2.18459037,0.5192147055,8.018411877,2.004830683,-0.2845531534
30,8.268163386,2.315265807,-0.0739301768,8.205907695,2.10351788,-0.03184754649,7.950540591,2.066105562,0.0387419531,NaN,NaN,NaN,7.37602784,1.654109562,-0.4456196883,8.564417843,2.394784984,-0.5495610204,8.428865846,2.301957455,-0.2581927722,8.253069315,2.198981036,-0.6037324737,7.89180568,1.896127791,0.1860164506,7.996583245,2.033077596,-0.5638314173,8.325390196,2.142704672,0.6563056036,7.972311818,2.039412612,-0.6938159259,7.874491049,1.954928065,-0.2316387416,7.921020287,1.840786321,0.6221689581,8.238311515,2.073893819,0.6868247736,8.382566459,2.183951973,0.5191654033,8.014725567,2.003691434,-0.2844468647
