susp_data.tx,susp_data.ty,susp_data.tz,susp_data.rx,susp_data.ry,susp_data.rz
1.674952922,1.340580157,1.862468084,-5.65694854,18.72877754,23.2133575
1.674295296,1.34021647,1.860892842,-5.73120334,18.7156447,23.21784891
1.673686845,1.33987368,1.8593608,-5.805591969,18.70272167,23.22159027
1.673148906,1.339554042,1.857887781,-5.880283214,18.69049539,23.22457706
1.672702752,1.339259408,1.856489676,-5.955445165,18.67945201,23.22680428
1.672369604,1.338991251,1.855182433,-6.031245358,18.67007685,23.22826645
1.672146212,1.33876109,1.853997766,-6.10571667,18.66116276,23.22902349
1.672006498,1.338577136,1.852943257,-6.177423854,18.65139042,23.22910901
1.671937457,1.338435715,1.851998457,-6.247331012,18.64107902,23.22847836
1.671926148,1.338333268,1.851142575,-6.316400983,18.63055149,23.22708786
1.671959701,1.338266349,1.850354478,-6.38559534,18.62013441,23.22489485
1.672025315,1.338231644,1.849612691,-6.455874397,18.61015792,23.22185766
1.672110255,1.338225973,1.848895393,-6.528197221,18.6009557,23.21793574
1.672201855,1.338246312,1.848180406,-6.603521659,18.59286502,23.21308964
1.672287517,1.33828981,1.847445193,-6.682804359,18.58622672,23.20728117
1.672354704,1.338353809,1.846666849,-6.767000804,18.5813853,23.20047344
1.672390941,1.33843587,1.845822086,-6.857065339,18.57868908,23.19263097
1.67242412,1.338536436,1.844906406,-6.953942955,18.57798641,23.18361763
1.672486678,1.338658059,1.843938029,-7.057188312,18.57880629,23.17338792
1.672572945,1.338801437,1.842927737,-7.165670631,18.58101731,23.16204198
1.67267718,1.338966952,1.841886724,-7.27826094,18.58448287,23.14967776
1.672793567,1.33915463,1.840826636,-7.393832282,18.5890608,23.13639074
1.672916209,1.339364121,1.839759597,-7.511259897,18.59460314,23.12227368
1.673039133,1.33959468,1.838698225,-7.629421348,18.60095594,23.10741656
1.673156288,1.339845164,1.837655644,-7.747196616,18.60795918,23.09190648
1.673261545,1.340114034,1.836645479,-7.863468124,18.61544684,23.07582778
1.673348703,1.340399374,1.835681849,-7.977120709,18.62324695,23.05926209
1.673411491,1.340698911,1.83477934,-8.087041518,18.63118191,23.04228856
1.67342708,1.341016484,1.833907603,-8.197164296,18.64015822,23.02425578
1.673387009,1.341357824,1.833030164,-8.311307292,18.65097237,23.00464096
1.673306442,1.341723032,1.832153235,-8.428187275,18.66327115,22.98371337
1.673200451,1.342111921,1.831283713,-8.546522791,18.67669229,22.96174098
1.673084,1.342523995,1.830429213,-8.665034293,18.69086402,22.93899059
1.672971948,1.342958457,1.829598089,-8.782444221,18.70540498,22.91572783
1.672879045,1.343414207,1.828799425,-8.89747704,18.71992438,22.89221725
1.672819942,1.34388985,1.828043004,-9.008859212,18.73402243,22.86872235
1.672809192,1.344383705,1.827339255,-9.115319111,18.74729106,22.84550558
1.672861263,1.344893823,1.82669918,-9.215586871,18.75931491,22.82282828
1.672990553,1.345418,1.826134246,-9.308394157,18.7696726,22.8009506
1.673213876,1.345974632,1.825673608,-9.394470252,18.7785311,22.77894657
1.673526685,1.346578432,1.825327936,-9.475779393,18.78643964,22.7559017
1.67391133,1.347221587,1.825080978,-9.552906051,18.79355036,22.73209207
1.6743502,1.347896416,1.824916163,-9.626433932,18.80002005,22.70779335
1.674825708,1.348595373,1.824816672,-9.696946041,18.80600958,22.68328098
1.67532028,1.349311042,1.824765484,-9.765024737,18.81168342,22.65883016
