C2P2T17_pect_data.tx,C2P2T17_pect_data.ty,C2P2T17_pect_data.tz,C2P2T17_pect_data.rx,C2P2T17_pect_data.ry,C2P2T17_pect_data.rz
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0.0859077599,-1.230927608,1.599763091,-7.734489944,15.88239995,34.23364752
0.08576070338,-1.231114232,1.599516822,-7.716565018,15.85879184,34.23702795
0.08558611777,-1.23127677,1.599308242,-7.699503897,15.83515776,34.24070592
0.08539321924,-1.231383379,1.599202497,-7.685048513,15.81229177,34.24455159
0.08518452026,-1.231444113,1.599157478,-7.672574777,15.7916473,34.24826623
0.08496251647,-1.231469004,1.599131047,-7.661457909,15.77467798,34.25155033
0.08472966855,-1.231468039,1.59908106,-7.651072797,15.76283754,34.25410368
0.08448836125,-1.231451116,1.598965387,-7.640794475,15.75757979,34.25562574
0.08425931971,-1.231411731,1.598769785,-7.630761146,15.75972761,34.25600294
0.0839667382,-1.231265359,1.598599135,-7.625539535,15.7723116,34.2562831
0.08354972639,-1.230979425,1.598523786,-7.62716728,15.79560117,34.25711413
0.08306630978,-1.230598394,1.598550827,-7.633524262,15.82601263,34.25787409
0.08257493877,-1.230167162,1.598686986,-7.642487664,15.85996286,34.25794142
0.08211010656,-1.229807198,1.598774465,-7.64912728,15.89315198,34.25713111
0.08171719266,-1.229634073,1.598639996,-7.648183118,15.92117094,34.25522401
0.08141794527,-1.229478852,1.598421826,-7.644588041,15.95077708,34.25173097
0.08116796542,-1.229201049,1.598252774,-7.643865042,15.98849001,34.24693737
0.08094376876,-1.228880422,1.59810741,-7.644271969,16.03020811,34.24133593
0.08072236228,-1.228597289,1.597959894,-7.644058246,16.07183152,34.23542245
0.08048126713,-1.228432558,1.597783938,-7.641463895,16.10926234,34.22969633
0.08029768491,-1.228310509,1.597631448,-7.636745026,16.14297884,34.22322184
0.08025700951,-1.22808896,1.597601499,-7.632184417,16.17668315,34.21484302
0.08034935661,-1.227749446,1.597738317,-7.629056681,16.21111416,34.20472933
0.08048887678,-1.227346037,1.597990576,-7.627477709,16.24587742,34.19382162
0.08059997972,-1.22694403,1.598282972,-7.626934908,16.28092983,34.18289575
0.08068807997,-1.22654161,1.598623737,-7.627761933,16.31753628,34.17187184
0.08075848953,-1.226136797,1.599021054,-7.630293548,16.35696141,34.16066933
0.08081641016,-1.225727423,1.599483058,-7.634865593,16.40046975,34.14920683
0.08086691416,-1.225311094,1.600017845,-7.641814862,16.44932602,34.13740193
0.08085801971,-1.224835245,1.600612512,-7.652427449,16.50157943,34.1257208
0.08073972102,-1.2243316,1.601278597,-7.667832724,16.5566631,34.1145984
0.08055158378,-1.223870371,1.602039628,-7.687009637,16.61624609,34.10364608
0.0803363569,-1.223468742,1.60290033,-7.708485248,16.68085835,34.09261483
