frame,AA01_data.tx,AA01_data.ty,AA01_data.tz,AA02_data.tx,AA02_data.ty,AA02_data.tz,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
21,6.679655276,4.578444924,0.6205277483,6.850536244,4.624534595,0.7971746498,6.771561992,4.768184452,1.046977655,6.79311882,4.953044998,1.232405258,6.889325377,4.89204909,1.427570817,6.606056096,4.467901236,0.6097304073,6.703281359,4.391085757,0.9864852754,6.594650922,4.364435896,0.2662055231,6.773890039,4.489041439,1.111683427,6.938773437,4.643743776,1.959137757,6.726551927,4.277464356,1.684044777,7.025079448,4.777998214,1.691188146,6.782736309,4.656681314,0.3091220521,6.991519418,4.887927797,0.9491547071,7.094242607,4.884165381,1.73273779,7.09772828,4.965625917,1.255865645,7.148740051,5.077127014,1.294317557,7.185616976,5.084058514,1.528393327,7.180498114,5.040805693,1.651769157
22,6.667169834,4.567832421,0.618925422,6.838108988,4.61393467,0.7955422559,6.759098853,4.757493428,1.045409889,6.78069505,4.942303888,1.230818956,6.876969191,4.881280746,1.425988664,6.593526631,4.457295202,0.6084084771,6.691116559,4.380264619,0.9850201585,6.582250559,4.353872251,0.2645934905,6.76153333,4.47842323,1.109898108,6.92661514,4.632730314,1.957427806,6.714522742,4.266545885,1.682521454,7.012775983,4.767188239,1.689779145,6.770023155,4.646283278,0.3073905085,6.979028206,4.877405852,0.9475837166,7.081859341,4.873343452,1.730899817,7.085281384,4.954954583,1.2542502,7.136284955,5.066491384,1.292675111,7.173343983,5.073439176,1.52664934,7.168184642,5.030095337,1.650060951
23,6.654677705,4.557262394,0.617352577,6.825711358,4.603383428,0.793937752,6.746595581,4.746836622,1.043885447,6.768266958,4.931611152,1.229230728,6.864620857,4.870539089,1.424429889,6.581110403,4.4466609,0.6071578672,6.678679034,4.369583958,0.9836169092,6.56995901,4.343332692,0.2629712402,6.74910434,4.467829135,1.108158256,6.914528237,4.621695496,1.955751768,6.702532846,4.255670136,1.681034644,7.000422224,4.756389402,1.688296728,6.757332797,4.635925386,0.3057049994,6.966511873,4.866952567,0.9460899622,7.069410922,4.862557995,1.728997829,7.072871434,4.944339263,1.252643198,7.123826442,5.055903604,1.291100484,7.161075265,5.062855097,1.524911719,7.155907001,5.019485912,1.648369368
24,6.642147722,4.546786775,0.615844889,6.813296639,4.592932709,0.7923965594,6.734034408,4.736267517,1.042432095,6.755796589,4.921014715,1.227692448,6.852238684,4.859880759,1.422933058,6.568732414,4.436088003,0.6059802025,6.666047517,4.359055274,0.9822865116,6.557696537,4.33287862,0.2613886388,6.73660087,4.457318031,1.106497342,6.902446965,4.610722231,1.95414228,6.69053201,4.244890204,1.679610805,6.988001388,4.745669191,1.686803792,6.744620272,4.625659008,0.3040941519,6.953942241,4.856610723,0.9446916226,7.056890101,4.851863581,1.727122165,7.060439708,4.933827269,1.251091859,7.111321292,5.045415985,1.289619149,7.148765215,5.052364305,1.52323262,7.143609393,5.0090103,1.646737964
25,6.629604333,4.53635885,0.614378937,6.800875261,4.582533492,0.7908942043,6.721458302,4.725741815,1.041017148,6.743310931,4.910465411,1.226194408,6.839845438,4.849264636,1.421475283,6.556371048,4.42556884,0.6048190309,6.653354118,4.348593309,0.9809819004,6.545433689,4.322472159,0.2598380076,6.724076374,4.446851326,1.104890111,6.890367139,4.599797847,1.952572127,6.678523658,4.234165955,1.678219396,6.97555995,4.734996318,1.685302088,6.731896632,4.61543303,0.3025265572,6.941353834,4.846320555,0.9433448892,7.044355105,4.841214938,1.725301115,7.047992781,4.923363121,1.249580713,7.098793816,5.034977363,1.288193029,7.136436747,5.041922024,1.521600567,7.131304182,4.99859941,1.64514698
26,6.617071671,4.525932346,0.6129314454,6.788457342,4.572137174,0.7894063724,6.708909901,4.715215702,1.039608055,6.730836669,4.899914505,1.224727049,6.827463561,4.838650033,1.420033836,6.54400428,4.415096148,0.6036181316,6.640730665,4.338113427,0.9796560035,6.533140705,4.312075775,0.2583118736,6.711583979,4.436390913,1.103311436,6.87828419,4.588910059,1.951014313,6.666510871,4.223457663,1.676830053,6.963144069,4.724339941,1.683793515,6.71917262,4.605196777,0.3009709613,6.928780866,4.836022774,0.9420060816,7.03186389,4.830567229,1.723563091,7.03553694,4.912891744,1.248094458,7.086268009,5.024537028,1.286784199,7.124112474,5.031483898,1.520004246,7.119003454,4.98818456,1.643576802
27,6.604573565,4.515461439,0.6114792834,6.776052698,4.561695573,0.7879089083,6.696431521,4.704645842,1.038172401,6.718400199,4.889313689,1.223280961,6.815115174,4.827996698,1.418586151,6.531609687,4.40466307,0.6023215143,6.628308707,4.327531626,0.9782617426,6.52078752,4.301652278,0.2568029668,6.699176489,4.425899169,1.101736309,6.866193173,4.578046971,1.949442059,6.654496397,4.212726002,1.675412582,6.950799593,4.713669662,1.682280116,6.706458673,4.59490001,0.299396265,6.916257247,4.825658569,0.9406316472,7.01947415,4.819876052,1.721936631,7.023078183,4.902358463,1.246617956,7.073767545,5.014044724,1.285354888,7.11181471,5.021005987,1.518432499,7.106719025,4.977697481,1.642007969
28,6.59214324,4.504913974,0.6100059752,6.763711151,4.55118408,0.7863725518,6.684044452,4.693984807,1.03667781,6.706049857,4.878638183,1.221807433,6.802838014,4.817234245,1.417089892,6.519264423,4.394201645,0.6009217816,6.616050905,4.316777582,0.9767624267,6.508428041,4.291211592,0.2552434778,6.686876553,4.415326134,1.100184212,6.854156533,4.567196506,1.947822596,6.642542104,4.201919852,1.673933557,6.938552759,4.7029577,1.680684722,6.693777816,4.58447797,0.2977844503,6.903815181,4.815244985,0.9391994245,7.007208544,4.809085385,1.720522198,7.010639932,4.891713634,1.245125166,7.061311094,5.003457423,1.283898416,7.099563559,5.010446307,1.516867635,7.094495344,4.967122947,1.640419144
29,6.579752991,4.494425148,0.6085535298,6.751424067,4.540741869,0.7848367437,6.671696209,4.683352644,1.035174165,6.693756113,4.868016598,1.220332926,6.790604531,4.806465219,1.415584024,6.507002225,4.383795635,0.5994950209,6.603803121,4.30600426,0.9752108332,6.496097478,4.280902088,0.2536377616,6.674627338,4.404783742,1.098709797,6.8421883,4.556442361,1.946197147,6.630659084,4.191138735,1.672429897,6.926351671,4.692308272,1.679005149,6.681108924,4.574067868,0.2961863575,6.891411626,4.804945109,0.9377751677,6.995000971,4.798303258,1.719359221,6.998204063,4.881087903,1.243654563,7.048859724,4.992904075,1.282484336,7.087322696,4.999923364,1.515350277,7.082316051,4.956609755,1.638856815
30,6.567359375,4.484074075,0.6071495019,6.739138027,4.530441269,0.7833427181,6.659345057,4.672840376,1.033710629,6.681458527,4.857518162,1.218914158,6.778366747,4.795799306,1.414123238,6.494757237,4.373541,0.5980761698,6.591540393,4.295345843,0.9736618659,6.483758629,4.270760595,0.2520551893,6.662382721,4.394362075,1.097306317,6.830231394,4.545819734,1.944611825,6.618787541,4.180470163,1.670947744,6.914149408,4.681783576,1.677314614,6.668423162,4.563785929,0.2946355363,6.878997216,4.794795017,0.9364030221,6.982802405,4.787625575,1.718340827,6.985744319,4.870578576,1.242241932,7.036383004,4.98247387,1.281140603,7.075061378,4.989520722,1.513908007,7.07013199,4.946225785,1.637355597
