C2P2T17_sup_data.tx,C2P2T17_sup_data.ty,C2P2T17_sup_data.tz,C2P2T17_sup_data.rx,C2P2T17_sup_data.ry,C2P2T17_sup_data.rz
3.18452405,1.539045364,0.8675850941,4.212479458,16.98499251,87.58909094
3.187623905,1.538927413,0.8686461537,4.168823506,17.01090871,87.71172445
3.190910786,1.538803898,0.8697808536,4.122127271,17.03993146,87.84180728
3.194289825,1.538683302,0.8709187182,4.074866589,17.06930252,87.97410731
3.197666763,1.538573294,0.8719904896,4.029467864,17.09625868,88.10338841
3.200947942,1.538480775,0.8729281179,3.988308672,17.11803256,88.22441084
3.204040181,1.538412017,0.8736645892,3.953725139,17.13185459,88.33193158
3.206850567,1.538372914,0.8741335897,3.928026231,17.13495601,88.42070441
3.209326684,1.538401084,0.8744208659,3.911699763,17.129392,88.49212207
3.21157282,1.538505162,0.874660917,3.901738735,17.11992507,88.55391954
3.213731085,1.538647594,0.8748605427,3.895212728,17.10785005,88.61036443
3.215943577,1.538790934,0.8750262735,3.889200862,17.09445959,88.66572681
3.218352419,1.53889779,0.8751644143,3.88078826,17.0810429,88.72427833
3.221099765,1.538930805,0.8752810348,3.867066368,17.06888597,88.79029295
3.223129563,1.538962695,0.8749844991,3.860987526,17.04372667,88.82164832
3.223927239,1.539060001,0.8741348789,3.870136373,16.99934332,88.79925599
3.224447303,1.539176368,0.8731148504,3.883570297,16.949055,88.76194877
3.225646469,1.539262861,0.8723117613,3.890225735,16.9061693,88.74854402
3.228483366,1.539268373,0.8721165101,3.878940569,16.88397311,88.7978522
3.232503585,1.53918082,0.8723361814,3.851917199,16.87824143,88.89907365
3.236654733,1.539032113,0.8725332733,3.819393393,16.87561694,89.01456146
3.240998029,1.538838287,0.8727287809,3.782315173,16.87564414,89.14287641
3.245594725,1.538615377,0.8729436161,3.741627995,16.87786609,89.28257746
3.250506149,1.538379334,0.8731986885,3.69827444,16.88182396,89.43222099
3.255793754,1.538145981,0.8735149813,3.653192145,16.8870569,89.59036015
3.261519142,1.537930975,0.8739136217,3.607312007,16.89310207,89.75554443
3.26774409,1.537749786,0.8744159466,3.561556657,16.89949486,89.92631934
3.274530559,1.5376177,0.8750435615,3.516839227,16.90576936,90.10122626
3.281940691,1.537549828,0.8758183942,3.474062421,16.91145898,90.27880245
3.290364922,1.537527356,0.8769818525,3.425942284,16.93032781,90.50738945
3.299881893,1.537530016,0.8785835505,3.368456362,16.9688764,90.81040723
3.310089556,1.537565121,0.8803711567,3.307178019,17.01588496,91.14896291
3.320593555,1.5376284,0.882121695,3.247210125,17.06042689,91.48408906
3.331008686,1.537702795,0.8836463564,3.193102411,17.09191992,91.77675403
3.340957064,1.53776166,0.884783242,3.148953808,17.10007702,91.98789182
3.350573051,1.537819285,0.88578425,3.121809053,17.09023494,92.15944344
3.36032131,1.537906632,0.8869320753,3.109100308,17.07558343,92.34758117
