C1P2T10_inf_data.tx,C1P2T10_inf_data.ty,C1P2T10_inf_data.tz,C1P2T10_inf_data.rx,C1P2T10_inf_data.ry,C1P2T10_inf_data.rz
3.740803939,0.04379872646,0.7768765635,3.963919454,11.02692075,54.79858883
3.740249079,0.04368217457,0.7772509721,3.939100183,11.03262505,54.78490019
3.739758615,0.04365768079,0.777339994,3.901820142,11.03598037,54.77405294
3.739315175,0.04353226047,0.7773931632,3.874109539,11.0377293,54.76019603
3.738847134,0.04335427346,0.7773637052,3.860040679,11.03552632,54.73907454
3.738274079,0.04322853202,0.7772897333,3.846515166,11.03132156,54.71047812
3.737654717,0.04313459671,0.7771907962,3.833913257,11.02599306,54.67745588
3.737047688,0.04305234963,0.7770872318,3.822616442,11.02042067,54.64305618
3.736511566,0.04296197714,0.7770001868,3.81300761,11.01548502,54.61032674
3.736104863,0.04284393119,0.7769515698,3.805471118,11.0120668,54.58231485
3.735915047,0.04264292491,0.7769360952,3.799052792,11.00991809,54.56219108
3.735961747,0.04232503832,0.7768096481,3.793793833,11.00648161,54.54906199
3.73616354,0.04193409639,0.7765301329,3.790519435,11.0012425,54.53946178
3.736391055,0.04156791698,0.7762091011,3.788995739,10.99549223,54.52955641
3.736514768,0.04132436628,0.7759574962,3.788985482,10.9905223,54.51550876
3.736404977,0.04130140808,0.7758856795,3.790246493,10.98762547,54.49347797
3.735998203,0.0415990003,0.7760126451,3.792900519,10.98777729,54.46081386
3.735387561,0.04216627289,0.7762473665,3.797173032,10.99034304,54.41997323
3.73467824,0.0428748326,0.776534809,3.802977087,10.99420072,54.37477522
3.733975644,0.04359590044,0.7768196202,3.810236567,10.99822571,54.32904504
3.733385419,0.04420031231,0.7770459056,3.81888791,11.00128979,54.28661481
3.733017532,0.04473217908,0.7772890407,3.827243301,11.00313981,54.25227509
3.732895944,0.04523109979,0.777523414,3.834689305,11.00209419,54.22822227
3.732898596,0.0456641405,0.777663974,3.842801554,10.99774634,54.20956806
3.732907577,0.04602290015,0.7776986213,3.852925241,10.9910417,54.19069498
3.732805021,0.04629975079,0.7776148401,3.86639937,10.98293259,54.16598026
3.732789515,0.04649180693,0.7775610791,3.883761747,10.97196055,54.14038078
3.732950767,0.04670154549,0.7776635361,3.901693649,10.95965149,54.11839305
3.733007546,0.0470791153,0.7778774829,3.915726577,10.95143417,54.09368412
3.732877006,0.04761482503,0.7781604723,3.930747138,10.94904877,54.06305708
3.732638252,0.04809558114,0.7783335448,3.954327404,10.94817696,54.02780309
3.732337996,0.04848524874,0.7782649576,3.984105656,10.94647946,53.99025864
3.732045935,0.04881877476,0.7779846347,4.015729163,10.94297634,53.95317472
3.731758587,0.04904527579,0.7774868379,4.045760257,10.93603255,53.91756233
3.731472602,0.04911247673,0.7767657948,4.070764098,10.92400218,53.88443452
3.731154293,0.0490589663,0.7759228913,4.089851988,10.90750623,53.85406454
3.730743422,0.04884624917,0.7747502699,4.107982745,10.88567762,53.82467906
3.730246786,0.04842860065,0.7730804393,4.126850524,10.85760864,53.79503485
3.72971179,0.04791453683,0.7711861951,4.143018135,10.82647064,53.76436342
3.72918569,0.04741205366,0.7693406166,4.153041773,10.79542862,53.73189743
3.728715611,0.04702859383,0.7678171111,4.153470758,10.7676398,53.69687196
3.728300311,0.04658778138,0.7663725313,4.140829982,10.73867954,53.6604013
3.727898402,0.04591559852,0.7646797403,4.117394517,10.70428449,53.62360768
3.727496371,0.04512416408,0.7628867373,4.088325589,10.6678571,53.58573466
3.727080387,0.0443273987,0.7611420255,4.058773867,10.63281589,53.54601919
3.726636311,0.04364086653,0.7595947564,4.033878077,10.60259645,53.5036901
3.726149688,0.04318168173,0.7583947712,4.01876473,10.58065142,53.45796708
3.725585413,0.04303264205,0.7576366885,4.012305748,10.56939322,53.40632002
3.72494411,0.04314321682,0.7572307624,4.009413251,10.56628902,53.3485898
3.724264913,0.04343091855,0.7570497965,4.009277176,10.56738496,53.28755171
3.723618629,0.04385670002,0.7570386779,4.01009844,10.57032244,53.22640986
3.723046472,0.04433325378,0.7570820625,4.010827498,10.57209065,53.1677509
3.722543872,0.04470495473,0.7569596073,4.011812855,10.56775905,53.11344575
3.722122121,0.0449115347,0.7565937575,4.01709105,10.55539934,53.06536926
