T1P1T06_hyoid_data.tx,T1P1T06_hyoid_data.ty,T1P1T06_hyoid_data.tz,T1P1T06_hyoid_data.rx,T1P1T06_hyoid_data.ry,T1P1T06_hyoid_data.rz
1.910547485,-0.7834833303,-1.91906424,-11.49685912,-31.31542258,2.991787015
1.910396697,-0.7842563263,-1.917303552,-11.64270267,-31.28665503,3.141138508
1.910248942,-0.7850729708,-1.915443445,-11.79678154,-31.25626308,3.2989234
1.91010419,-0.7859320168,-1.913486757,-11.95886044,-31.22429312,3.464900738
1.909962411,-0.7868322173,-1.91143633,-12.12870406,-31.19079158,3.638829567
1.909823575,-0.787772325,-1.909295005,-12.30607711,-31.15580487,3.820468933
1.909687653,-0.7887510929,-1.907065622,-12.49074431,-31.11937938,4.009577881
1.909554613,-0.7897672739,-1.904751021,-12.68247034,-31.08156155,4.205915458
1.909424426,-0.7908196209,-1.902354043,-12.88101993,-31.04239778,4.409240708
1.909297062,-0.7919068868,-1.899877529,-13.08615777,-31.00193447,4.619312679
1.90917249,-0.7930278245,-1.897324319,-13.29764857,-30.96021805,4.835890415
1.909050682,-0.7941811868,-1.894697254,-13.51525703,-30.91729493,5.058732962
1.908931606,-0.7953657267,-1.891999175,-13.73874787,-30.87321151,5.287599366
1.908815232,-0.7965801971,-1.889232922,-13.96788578,-30.82801421,5.522248673
1.908701532,-0.7978233508,-1.886401335,-14.20243546,-30.78174944,5.762439928
1.908590474,-0.7990939408,-1.883507255,-14.44216164,-30.73446361,6.007932177
1.908482028,-0.8003907199,-1.880553523,-14.686829,-30.68620313,6.258484466
1.908376165,-0.8017124412,-1.87754298,-14.93620226,-30.63701442,6.51385584
1.908272854,-0.8030578573,-1.874478466,-15.19004613,-30.58694389,6.773805346
1.908172065,-0.8044257213,-1.871362821,-15.44812529,-30.53603794,7.038092029
1.908073769,-0.8058147861,-1.868198886,-15.71020447,-30.484343,7.306474934
1.907977935,-0.8072238045,-1.864989502,-15.97604837,-30.43190547,7.578713108
1.907884533,-0.8086515295,-1.861737509,-16.24542169,-30.37877176,7.854565596
1.907793533,-0.8100967139,-1.858445748,-16.51808913,-30.32498829,8.133791444
1.907704906,-0.8115581106,-1.855117059,-16.79381541,-30.27060146,8.416149697
1.90761862,-0.8130344726,-1.851754283,-17.07236522,-30.2156577,8.701399402
1.907534647,-0.8145245527,-1.848360261,-17.35350328,-30.1602034,8.989299604
1.907452955,-0.8160271039,-1.844937834,-17.63699428,-30.10428499,9.279609349
1.907373515,-0.8175408789,-1.84148984,-17.92260294,-30.04794887,9.572087682
1.907296297,-0.8190646308,-1.838019123,-18.21009396,-29.99124146,9.866493649
1.907221271,-0.8205971124,-1.834528521,-18.49923204,-29.93420916,10.1625863
1.907148407,-0.8221370766,-1.831020876,-18.78978189,-29.8768984,10.46012467
1.907077674,-0.8236832764,-1.827499027,-19.08150821,-29.81935557,10.75886781
1.907009043,-0.8252344645,-1.823965817,-19.37417571,-29.7616271,11.05857478
