ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz
-1.982518749,-0.4600798053,-2.57328444,3.659525042,0.04041551487,-0.3640403212,5.328176671,1.631815618,-0.0282951322,5.183672782,2.194356009,-0.08455896579
-1.982920122,-0.4604546353,-2.574231995,3.65978926,0.04148007841,-0.3660328511,5.328279791,1.631048018,-0.02773312674,5.182549999,2.194253909,-0.08363248167
-1.983318021,-0.4608264895,-2.575214711,3.660061128,0.04254449261,-0.3680905997,5.328376848,1.630288812,-0.02715485092,5.181444353,2.194154828,-0.08272013811
-1.983711922,-0.4611948625,-2.576230042,3.66033969,0.04360807483,-0.3702072177,5.328468024,1.629537888,-0.02656233853,5.180356851,2.194058768,-0.08182276692
-1.984101303,-0.4615592487,-2.577275444,3.660623988,0.04467014244,-0.3723763558,5.328553504,1.628795135,-0.02595762337,5.179288502,2.193965731,-0.08094119988
-1.98448564,-0.4619191427,-2.57834837,3.660913067,0.04573001283,-0.3745916644,5.328633471,1.628060441,-0.02534273923,5.178240314,2.193875718,-0.0800762688
-1.984864408,-0.4622740391,-2.579446275,3.66120597,0.04678700337,-0.3768467945,5.328708108,1.627333695,-0.02471971992,5.177213294,2.193788731,-0.07922880548
-1.985237085,-0.4626234323,-2.580566615,3.661501742,0.04784043143,-0.3791353965,5.328777601,1.626614787,-0.02409059921,5.176208451,2.193704772,-0.0783996417
-1.985603147,-0.462966817,-2.581706842,3.661799427,0.04888961437,-0.3814511212,5.328842132,1.625903604,-0.02345741091,5.175226793,2.193623843,-0.07758960928
-1.98596207,-0.4633036876,-2.582864412,3.662098067,0.04993386959,-0.3837876191,5.328901885,1.625200037,-0.02282218882,5.174269328,2.193545946,-0.07679954
-1.986313331,-0.4636335387,-2.58403678,3.662396708,0.05097251444,-0.3861385411,5.328957044,1.624503972,-0.02218696673,5.173337063,2.193471081,-0.07603026566
-1.986656405,-0.4639558648,-2.585221399,3.662694392,0.05200486631,-0.3884975377,5.329007793,1.6238153,-0.02155377844,5.172431008,2.193399252,-0.07528261807
-1.986990771,-0.4642701605,-2.586415725,3.662990164,0.05303024256,-0.3908582596,5.329054315,1.62313391,-0.02092465773,5.17155217,2.19333046,-0.07455742902
-1.987315903,-0.4645759203,-2.587617212,3.663283068,0.05404796058,-0.3932143574,5.329096794,1.622459689,-0.02030163841,5.170701556,2.193264706,-0.07385553031
-1.987631278,-0.4648726387,-2.588823314,3.663572147,0.05505733772,-0.3955594819,5.329135415,1.621792526,-0.01968675427,5.169880176,2.193201992,-0.07317775374
-1.987936373,-0.4651598102,-2.590031486,3.663856445,0.05605769138,-0.3978872836,5.32917036,1.621132311,-0.01908203911,5.169089036,2.19314232,-0.0725249311
-1.988230664,-0.4654369295,-2.591239183,3.664135006,0.05704833891,-0.4001914132,5.329201814,1.620478933,-0.01848952672,5.168329146,2.193085692,-0.07189789419
-1.988513628,-0.4657034911,-2.592443859,3.664406874,0.0580285977,-0.4024655215,5.32922996,1.619832279,-0.0179112509,5.167601513,2.19303211,-0.07129747481
-1.988784741,-0.4659589894,-2.593642968,3.664671093,0.05899778512,-0.404703259,5.329254982,1.619192239,-0.01734924545,5.166907144,2.192981575,-0.07072450476
-1.989043479,-0.466202919,-2.594833965,3.664926706,0.05995521853,-0.4068982764,5.329277064,1.618558702,-0.01680554415,5.16624705,2.192934089,-0.07017981583
-1.989289319,-0.4664347745,-2.596014305,3.665172758,0.06090021532,-0.4090442243,5.32929639,1.617931556,-0.0162821808,5.165622236,2.192889654,-0.06966423983
-1.989521737,-0.4666540504,-2.597181442,3.665408292,0.06183209286,-0.4111347535,5.329313143,1.617310691,-0.0157811892,5.165033711,2.192848272,-0.06917860854
-1.98974021,-0.4668602412,-2.59833283,3.665632352,0.06275016852,-0.4131635146,5.329327507,1.616695994,-0.01530460315,5.164482484,2.192809944,-0.06872375378
