frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,AA01_data.tx,AA01_data.ty,AA01_data.tz,AA02_data.tx,AA02_data.ty,AA02_data.tz,AA03_data.tx,AA03_data.ty,AA03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
21,8.451146926,2.416984296,-1.085284223,8.423464249,2.174214658,-0.9208887167,8.157865961,2.219026734,-0.9312524762,8.562081791,2.29655885,-0.3500912377,8.360539613,2.151133835,-0.2438040492,8.289312286,2.027406271,-0.4412831485,8.718810494,2.375725186,-1.098035143,8.032282866,1.937705589,-0.5855542877,7.943823844,1.86885251,-0.7518921729,8.248514927,2.036744029,-0.5674080664,8.721964311,2.395217493,-1.201247879,7.936723439,1.887246852,-0.8940312843,8.737149365,2.367912727,-0.972045621,7.482187077,1.565333771,-0.417293866,8.79081463,2.322363802,-0.4819813091,8.823510233,2.420529976,-0.5809502432,7.998718379,1.920941488,-0.3743722747,8.130626849,1.962133682,-0.4062691326,8.202878431,2.009827053,-0.2963921972,9.009849841,2.460549225,-0.143776069
22,8.446204592,2.415378464,-1.086772989,8.418538028,2.172669048,-0.9222952672,8.152824691,2.217427793,-0.932637909,8.557328506,2.294788589,-0.3515829442,8.355638243,2.14970431,-0.245111425,8.284489244,2.025863288,-0.4426076121,8.713765224,2.374385059,-1.099157892,8.027299768,1.935696429,-0.5869952606,7.939102878,1.867353501,-0.7531364117,8.245312063,2.034700168,-0.5689240412,8.717212038,2.393697373,-1.202644694,7.931785629,1.885499124,-0.8956063637,8.732055824,2.366353043,-0.9732403593,7.47728576,1.563871699,-0.418746527,8.785598897,2.321232284,-0.483444059,8.818624457,2.418492382,-0.5825299738,7.993115288,1.91992455,-0.3757155016,8.127597328,1.961134904,-0.4067069901,8.19760819,2.008777234,-0.2977332675,9.004975785,2.458937515,-0.1452458888
23,8.441248658,2.413680603,-1.088251644,8.413592298,2.171034915,-0.9236930884,8.147788494,2.215727502,-0.9340240845,8.552534961,2.292965325,-0.3530565872,8.350722557,2.148168586,-0.2464196741,8.279639494,2.024224663,-0.4439246102,8.708747861,2.372913874,-1.100282236,8.022299116,1.933641738,-0.5884401139,7.934343748,1.865762003,-0.7543804574,8.24196533,2.032582817,-0.5703579664,8.712455988,2.392052924,-1.204012512,7.926823555,1.883679192,-0.8971692643,8.72698546,2.364686444,-0.9744350626,7.47235794,1.562331576,-0.4202194632,8.780396992,2.319962574,-0.4849003731,8.813722922,2.416427493,-0.5840704563,7.987595313,1.91875975,-0.3770719511,8.124398459,1.960003615,-0.4072418372,8.192326921,2.007610054,-0.2990769623,9.000078897,2.457279164,-0.1467032515
24,8.436324532,2.411825646,-1.089673787,8.408676516,2.169252253,-0.9250226345,8.142848163,2.21385664,-0.9353772063,8.547709221,2.291136594,-0.3544530974,8.345838355,2.146507653,-0.2476851722,8.274785588,2.022470956,-0.4451802341,8.703872156,2.371148842,-1.101464874,8.017364263,1.931612778,-0.5898134853,7.929593244,1.86400203,-0.7555947883,8.238250035,2.030434115,-0.5715368528,8.707705966,2.390178937,-1.205286841,7.921901199,1.881768347,-0.8986255564,8.7220531,2.362855257,-0.9756180816,7.467484791,1.560666109,-0.4216204446,8.775370278,2.318372568,-0.4863083855,8.80884312,2.414423082,-0.5854864826,7.982388236,1.917325333,-0.3783871839,8.120683399,1.958601484,-0.4080005834,8.187164762,2.006198949,-0.30036527,8.995178547,2.455636975,-0.1481081637
25,8.431441519,2.409788516,-1.09099661,8.403808534,2.167322163,-0.9262200252,8.138049426,2.211729485,-0.9366456574,8.542851431,2.289343313,-0.355714752,8.341038818,2.144702927,-0.2488331205,8.270015072,2.02055261,-0.4462897782,8.699216311,2.369061478,-1.102526665,8.012518481,1.929508583,-0.5910847711,7.924868406,1.862063212,-0.7566648692,8.234526654,2.028164704,-0.5722638256,8.703032397,2.38800531,-1.206365961,7.916987236,1.879714572,-0.8999632276,8.717289401,2.360819107,-0.976684388,7.462679724,1.558859171,-0.4229616898,8.770528495,2.316489281,-0.487602357,8.804039189,2.412493909,-0.5867241677,7.977361779,1.915763992,-0.3795923778,8.116603581,1.956971644,-0.4089387071,8.181871652,2.00474463,-0.3015174476,8.990308462,2.45415576,-0.1494327681
26,8.426553669,2.407182147,-1.092173299,8.398934519,2.16488407,-0.9272107071,8.133313641,2.208971373,-0.9377430346,8.537940583,2.287216927,-0.3567849508,8.336284621,2.142442502,-0.2497686461,8.265315431,2.018124738,-0.4471477652,8.694697908,2.366339032,-1.10328078,8.007675815,1.926876241,-0.5921729608,7.920109389,1.859631269,-0.7574340654,8.231081774,2.02535058,-0.5725006707,8.698439191,2.385143214,-1.207196754,7.911991141,1.87712226,-0.9011179027,8.712594583,2.358187067,-0.977531525,7.457843431,1.55662519,-0.4241427407,8.765723644,2.31411214,-0.4887117163,8.799286912,2.410197062,-0.5877665773,7.972251423,1.91389747,-0.3805745409,8.11247691,1.954911426,-0.4098036468,8.176236504,2.003093242,-0.3024325264,8.985454649,2.452500141,-0.1506356957
27,8.421642592,2.403895413,-1.093222261,8.394024463,2.161808936,-0.9280233841,8.128571412,2.205544561,-0.9386817613,8.532976047,2.284591073,-0.3576941622,8.33151116,2.139645567,-0.2505259671,8.260592284,2.015127613,-0.4477940661,8.690210417,2.362900757,-1.103848491,8.002792429,1.923672142,-0.5930646638,7.915287047,1.856606863,-0.7579564186,8.227612812,2.021950505,-0.5724363163,8.693856338,2.38153227,-1.207861102,7.906926893,1.873909242,-0.9020608197,8.707908635,2.354867578,-0.9782290667,7.452938478,1.553882409,-0.4250913829,8.76090258,2.311144522,-0.4896710171,8.794524825,2.407375487,-0.5886545246,7.967125724,1.911505348,-0.3813523953,8.108241848,1.952305574,-0.4105441107,8.170481677,2.000966085,-0.3031492098,8.98058162,2.450401237,-0.1517216692
28,8.416739039,2.400340735,-1.094200876,8.389109823,2.158473079,-0.9287504063,8.123812514,2.201903744,-0.9395345012,8.528010522,2.281754134,-0.3585236919,8.326714492,2.136664529,-0.251205701,8.255819071,2.01195105,-0.4483478369,8.685698664,2.359204412,-1.10439353,7.997897553,1.920303546,-0.5938358384,7.910449367,1.853353488,-0.7583821555,8.223885053,2.018383237,-0.572338534,8.689264479,2.377661466,-1.208481459,7.901885072,1.870470627,-0.9028576703,8.703222946,2.351295898,-0.9788897986,7.448019574,1.550954136,-0.4258638291,8.756064435,2.307969954,-0.490562432,8.789738968,2.404364064,-0.589466442,7.962126378,1.908794606,-0.3820348009,8.103907882,1.949476722,-0.4111947303,8.164897728,1.998514623,-0.3037864786,8.975697847,2.448047634,-0.1527278677
29,8.411874227,2.396931135,-1.095168617,8.384222505,2.155253204,-0.9294860183,8.119027213,2.198504121,-0.9403762563,8.523097094,2.278994964,-0.3593562569,8.321891096,2.133852147,-0.2519101921,8.25096968,2.008985107,-0.4489301825,8.681107999,2.355707878,-1.105081954,7.993020882,1.917178167,-0.5945645386,7.905644799,1.850234687,-0.7588633657,8.219664345,2.015067153,-0.5724774058,8.684644786,2.374020073,-1.209182763,7.896956714,1.867202005,-0.903576178,8.698529395,2.347907598,-0.979628691,7.443141821,1.54816418,-0.426517938,8.751208772,2.30497249,-0.4914700016,8.784915794,2.401498187,-0.5902824192,7.957395442,1.905972481,-0.3827316476,8.099484866,1.946748102,-0.4117916845,8.159775548,1.995890439,-0.3044639817,8.970812103,2.445628654,-0.1536923107
30,8.40706897,2.394092197,-1.096191297,8.379389548,2.152563593,-0.9303168766,8.114276898,2.195719747,-0.9412990137,8.518245816,2.276691978,-0.3602624949,8.317077025,2.13151551,-0.2527467657,8.24608014,2.006556142,-0.4496497983,8.676513062,2.352799241,-1.106000727,7.988249304,1.914639999,-0.5954055285,7.900899058,1.847622546,-0.7595217733,8.214937669,2.012347998,-0.5728350526,8.680074627,2.370987317,-1.209993965,7.892178493,1.864495521,-0.9043575624,8.693912083,2.345083702,-0.9804919536,7.438337983,1.5458435,-0.4272773923,8.746384361,2.302488415,-0.4924780913,8.780072282,2.399238552,-0.5911334695,7.953114266,1.903308173,-0.3835926771,8.09495258,1.944415093,-0.4125204358,8.155044004,1.993494598,-0.3053059811,8.965928657,2.443576989,-0.1546726953
