T1P1T09_sup_data.tx,T1P1T09_sup_data.ty,T1P1T09_sup_data.tz,T1P1T09_sup_data.rx,T1P1T09_sup_data.ry,T1P1T09_sup_data.rz
4.163878789,0.5872654397,-1.37094735,16.52960555,-35.21139327,54.65026093
4.162472586,0.5856696204,-1.369821073,16.62106946,-35.15145925,54.34458074
4.161598829,0.5841334709,-1.369121251,16.67790141,-35.1142187,54.08577945
4.161298475,0.5826652518,-1.368880687,16.69743739,-35.10141726,53.87792727
4.161772648,0.5811782178,-1.36919352,16.69692569,-35.11300976,53.70287338
4.163167285,0.5795873341,-1.37011193,16.6952485,-35.14707343,53.53948527
4.165440563,0.5779034268,-1.371605784,16.69219263,-35.20253748,53.38736069
4.168550658,0.5761373222,-1.373644949,16.68754495,-35.27833115,53.24609737
4.172455748,0.5742998464,-1.376199293,16.68109226,-35.37338367,53.11529302
4.177114009,0.5724018256,-1.379238682,16.67262143,-35.48662428,52.99454539
4.182483617,0.570454086,-1.382732985,16.66191927,-35.61698219,52.88345221
4.18852275,0.5684674536,-1.386652068,16.64877262,-35.76338664,52.78161121
4.195189584,0.5664527548,-1.390965798,16.63296833,-35.92476685,52.68862011
4.202442296,0.5644208156,-1.395644044,16.61429323,-36.10005207,52.60407666
4.210239062,0.5623824623,-1.400656671,16.59253415,-36.28817151,52.52757858
4.21853806,0.5603485209,-1.405973547,16.56747793,-36.48805442,52.4587236
4.227297465,0.5583298177,-1.411564539,16.53891141,-36.69863,52.39710946
4.236475456,0.5563371789,-1.417399516,16.50662142,-36.91882751,52.34233388
4.246030208,0.5543814306,-1.423448343,16.47039479,-37.14757617,52.2939946
4.255919898,0.5524733989,-1.429680888,16.43001837,-37.3838052,52.25168935
4.266102703,0.5506239101,-1.436067018,16.38527899,-37.62644383,52.21501586
4.2765368,0.5488437904,-1.442576601,16.33596349,-37.87442131,52.18357187
4.287180365,0.5471438658,-1.449179504,16.2818587,-38.12666685,52.15695509
4.297991575,0.5455349626,-1.455845593,16.22275145,-38.38210969,52.13476327
4.308928607,0.5440279069,-1.462544737,16.15842859,-38.63967905,52.11659414
4.319949638,0.5426335249,-1.469246802,16.08867696,-38.89830417,52.10204543
4.331012844,0.5413626428,-1.475921655,16.01328337,-39.15691427,52.09071486
4.342076402,0.5402260867,-1.482539165,15.93203468,-39.41443859,52.08220017
4.353098489,0.5392346828,-1.489069197,15.84471772,-39.66980635,52.0760991
4.364037281,0.5383992574,-1.49548162,15.75111932,-39.92194679,52.07200937
4.374850955,0.5377306364,-1.5017463,15.65102633,-40.16978913,52.06952871
4.385497689,0.5372396462,-1.507833105,15.54422557,-40.41226261,52.06825486
4.395935658,0.5369371129,-1.513711902,15.43050388,-40.64829645,52.06778555
4.406123039,0.5368338627,-1.519352558,15.3096481,-40.87681989,52.0677185
4.416394984,0.5370108979,-1.525090173,15.17871554,-41.11158113,52.09330791
4.427092335,0.5375259095,-1.531251032,15.035434,-41.36576132,52.16810499
4.438181804,0.5383547562,-1.537791781,14.88059609,-41.63743909,52.28915301
4.449630105,0.539473297,-1.544669065,14.71499441,-41.92469305,52.45349524
4.461403951,0.5408573907,-1.55183953,14.53942153,-42.22560181,52.65817496
4.473470054,0.542482896,-1.559259821,14.35467007,-42.538244,52.90023545
4.485795127,0.5443256719,-1.566886584,14.16153261,-42.86069824,53.17671997
4.498345883,0.546361577,-1.574676464,13.96080174,-43.19104315,53.48467181
4.511089036,0.5485664704,-1.582586108,13.75327008,-43.52735735,53.82113423
4.523991297,0.5509162108,-1.59057216,13.5397302,-43.86771945,54.18315051
4.53701938,0.553386657,-1.598591266,13.32097471,-44.21020808,54.56776393
4.550139998,0.5559536679,-1.606600072,13.09779619,-44.55290185,54.97201776
4.563319864,0.5585931023,-1.614555223,12.87098725,-44.89387939,55.39295527
4.57652569,0.561280819,-1.622413366,12.64134048,-45.23121931,55.82761975
4.589724189,0.5639926769,-1.630131144,12.40964847,-45.56300024,56.27305445
4.602882075,0.5667045348,-1.637665204,12.17670383,-45.88730079,56.72630266
4.61596606,0.5693922515,-1.644972192,11.94329913,-46.20219958,57.18440765
4.628942857,0.5720316859,-1.652008753,11.71022699,-46.50577523,57.6444127
