inf_data.tx,inf_data.ty,inf_data.tz,inf_data.rx,inf_data.ry,inf_data.rz
3.703316159,0.1124013978,0.8089923708,4.067353658,13.62130879,27.31856852
3.704294232,0.1120311483,0.8106116952,4.076934318,13.68755879,27.28217456
3.705227181,0.111688951,0.8122200392,4.083805472,13.75220284,27.23413039
3.706099727,0.1113794083,0.8138205069,4.088727192,13.81441116,27.16908744
3.706897189,0.1111083996,0.8154202495,4.092428974,13.87335797,27.08168627
3.707667423,0.1108787012,0.8170453165,4.091546244,13.92998733,26.98017577
3.708459622,0.1106890659,0.8187081935,4.083161984,13.985828,26.87599679
3.709261559,0.1105403437,0.8203987565,4.068648965,14.04094055,26.76856742
3.710060884,0.1104332621,0.8221071782,4.049376479,14.09538844,26.6573023
3.710845089,0.1103683092,0.823823946,4.026709788,14.14923848,26.54161207
3.711601481,0.1103456583,0.8255398646,4.00200964,14.20256157,26.42090279
3.712317162,0.1103651338,0.8272460424,3.976631845,14.25543357,26.29457549
3.712979027,0.1104262187,0.8289338637,3.951926919,14.3079364,26.16202567
3.71357377,0.1105281019,0.8305949431,3.929239784,14.36015927,26.02264296
3.714087905,0.1106697661,0.832221064,3.90990953,14.4122002,25.87581074
3.714507795,0.1108501159,0.8338041003,3.895269239,14.4641676,25.72090595
3.714821183,0.1110800721,0.8353688233,3.881645931,14.51596764,25.55521329
3.715036657,0.1113688552,0.8369468586,3.864962311,14.56739887,25.37769081
3.715171704,0.1117126494,0.8385391098,3.845947182,14.6184193,25.19022252
3.71524371,0.1121073332,0.8401447141,3.825339233,14.66899045,24.99469513
3.71526992,0.1125484506,0.841760967,3.803887953,14.71907805,24.79299806
3.715267417,0.1130311936,0.843383277,3.782354349,14.76865253,24.58702329
3.71525309,0.1135503943,0.8450051524,3.761511504,14.81768922,24.37866531
3.715243627,0.1141005297,0.8466182177,3.742144967,14.86616845,24.16982101
3.715255498,0.1146757376,0.8482122609,3.725052989,14.91407533,23.96238961
3.715304957,0.1152698456,0.8497753115,3.711046608,14.96139932,23.75827257
3.715408049,0.115876413,0.8512937478,3.700949605,15.00813359,23.55937363
3.715553836,0.1165464664,0.8527929178,3.696638624,15.05526529,23.36084346
3.715718183,0.1173239705,0.8543038507,3.698406674,15.10355477,23.15727546
3.715897155,0.1181917382,0.8558198883,3.704720699,15.15264602,22.94974573
3.716086697,0.1191324326,0.857333984,3.714060048,15.20216632,22.73933899
3.716282545,0.1201283947,0.8588388539,3.724916756,15.25172465,22.52714848
3.716480158,0.1211615212,0.8603270908,3.735795818,15.30091054,22.31427572
3.716674671,0.1222131892,0.861791241,3.745215453,15.34929339,22.10183031
3.716860872,0.1232642297,0.8632238443,3.751707349,15.39642228,21.89092968
3.717033204,0.1242949459,0.8646174375,3.75381686,15.44182621,21.68269896
3.71718579,0.1252851784,0.8659645202,3.750103148,15.48501486,21.47827082
3.71731249,0.1262144133,0.8672574845,3.739139258,15.52547976,21.27878546
3.717444847,0.1271337371,0.868446564,3.72359939,15.56313525,21.08438518
3.7176098,0.128097295,0.8695012311,3.706982814,15.59842578,20.89397477
3.717794123,0.1290889231,0.8704432826,3.689108654,15.63162342,20.70684264
3.717984596,0.1300924022,0.8712954105,3.66979328,15.66299763,20.5222757
3.718168032,0.1310914856,0.872081176,3.648850166,15.69281536,20.33955944
3.718331305,0.1320699253,0.8728249855,3.626089791,15.72134107,20.15797812
3.718461376,0.1330114974,0.8735520678,3.601319601,15.74883674,19.97681482
3.718545297,0.1339000251,0.8742884542,3.574344029,15.77556194,19.79535152
3.718570223,0.134719401,0.87506096,3.544964555,15.80177384,19.61286918
3.718523405,0.1354536083,0.8758971679,3.51297983,15.82772716,19.42864774
3.718392188,0.136086741,0.8768254134,3.478185857,15.85367421,19.24196619
3.718167284,0.1366098866,0.8778075965,3.436896131,15.87793332,19.05596186
3.717857612,0.1370367408,0.8787852523,3.386966439,15.89911687,18.87348289
3.717478024,0.1373855522,0.8797572297,3.330493548,15.9179332,18.6933664
3.717043515,0.1376746919,0.8807230545,3.269559667,15.93511198,18.51443966
3.716569177,0.1379225835,0.8816829408,3.206232274,15.95140328,18.33551981
3.716070168,0.1381476636,0.8826378062,3.142563915,15.96757693,18.15541354
3.715561702,0.1383683691,0.8835892899,3.080591967,15.9844224,17.97291691
3.715059059,0.1386031521,0.8845397753,3.022338359,16.00274887,17.78681511
3.714577616,0.1388705189,0.8854924143,2.969809242,16.02338592,17.59588239
3.714132899,0.1391890944,0.8864511559,2.924994592,16.0471844,17.39888206
3.713678756,0.1394802216,0.8874436413,2.889223081,16.07315589,17.19784107
3.713167992,0.1396715199,0.888483558,2.861231655,16.09976966,16.99537127
3.712614862,0.1397913042,0.8895551888,2.839107946,16.12706561,16.79110904
3.712033697,0.1398679338,0.8906437394,2.82093599,16.15506492,16.58469537
3.711438826,0.1399296786,0.891735395,2.804795771,16.18377034,16.37577535
3.710844519,0.1400046349,0.8928173563,2.788762952,16.21316614,16.16399785
3.710264977,0.1401206905,0.8938778557,2.770908796,16.2432179,15.94901547
3.709714341,0.1403055403,0.8949061526,2.749300284,16.27387196,15.73048476
3.709206753,0.1405867509,0.8958925077,2.722000432,16.30505472,15.50806668
3.708756439,0.140991876,0.8968281367,2.687068828,16.33667165,15.28142748
3.708377845,0.1415486203,0.8977051428,2.64256239,16.36860612,15.05023983
3.708046921,0.1422828766,0.8984698957,2.589186933,16.40033803,14.80906815
3.707733077,0.1431832454,0.8991007422,2.529417446,16.43160219,14.55466894
3.707441002,0.1442214482,0.8996375548,2.463981148,16.46264804,14.29001135
3.707175093,0.1453688002,0.9001190497,2.393631017,16.49372807,14.01806745
3.70693942,0.1465961727,0.9005827012,2.319147452,16.52509971,13.74181144
3.70673768,0.1478739604,0.90106467,2.241339287,16.55702701,13.46421872
3.706573159,0.1491720499,0.9015997456,2.161044151,16.58978202,13.18826493
3.706448687,0.1504597919,0.9022213016,2.079128224,16.62364605,12.91692495
3.706366596,0.1517059759,0.9029612651,1.996485399,16.65891067,12.65317211
