frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
24,5.979044364,3.797519384,0.5330027877,6.147050326,3.737458391,0.4823268016,6.093575934,3.918344305,0.5741647108,5.455222644,2.880575906,0.3386244247,5.556208167,2.986449651,-0.06965551121,5.905897227,3.433762313,0.6370242466,5.998613222,3.537875328,-0.03317978951,6.016167902,3.70305024,1.011706754,5.947991541,3.502916818,0.7777045344,5.698123816,3.171311126,0.33482731,5.733865804,3.200132546,-0.1178087994,5.661883893,3.148471733,0.9432875789,6.017167282,3.658310074,0.9022233265,5.701023864,3.134504188,-0.2414628953,5.713416128,3.250457018,1.011499749,6.178999058,3.784540341,0.8497011116,6.31338742,3.967469423,0.8334393364,6.397294355,3.96240485,0.7528964079
25,5.974358461,3.792250224,0.5335324642,6.142378755,3.732115911,0.4828366231,6.088905171,3.913225672,0.5748288537,5.450649497,2.875089252,0.3398047237,5.551646496,2.980850658,-0.06878549301,5.901238244,3.428616498,0.63742321,5.993952393,3.532422629,-0.0326850931,6.011669695,3.697958402,1.012087389,5.942972911,3.497282442,0.7776306848,5.693410842,3.165849225,0.3357238095,5.729329857,3.194757315,-0.1173915569,5.657182837,3.143250881,0.9438659991,6.013310201,3.652680007,0.9028855922,5.696673465,3.129116146,-0.2407363381,5.708706995,3.245417058,1.012172011,6.174203149,3.779341562,0.850361191,6.308691221,3.962189276,0.8335799257,6.393644719,3.956225393,0.7536327785
26,5.969617862,3.787058755,0.5342489782,6.13764984,3.726816998,0.4835313388,6.084188602,3.908204469,0.5757151129,5.446046197,2.869633376,0.3412958244,5.547076971,2.975235338,-0.06762437394,5.896529185,3.423542511,0.6379946352,5.989245226,3.52688009,-0.03202111188,6.007149991,3.693036526,1.012672901,5.937845971,3.491657481,0.7776467031,5.688660086,3.160397909,0.3368848246,5.724800876,3.18940293,-0.1168505247,5.65242084,3.138130475,0.9446872162,6.009494,3.647038557,0.903792335,5.69231794,3.123724718,-0.2397572639,5.703937039,3.240501823,1.013086862,6.169333141,3.774251749,0.8512871794,6.303944288,3.956986231,0.8338912164,6.390218491,3.949901253,0.7546206939
27,5.964855966,3.781900795,0.5350752823,6.132896373,3.721542537,0.4843391945,6.079452389,3.903215321,0.5767206104,5.441423472,2.864198753,0.3429103875,5.542506414,2.969626777,-0.06632979477,5.891791858,3.418493686,0.6386896118,5.984524083,3.521308834,-0.03124512108,6.002599939,3.688180357,1.013392892,5.932680733,3.486055611,0.7777557885,5.683902521,3.154970263,0.3381461223,5.720272522,3.184050245,-0.116201383,5.647627379,3.133060984,0.9456460741,6.005629796,3.641430445,0.9048247384,5.687957456,3.118331104,-0.2386559408,5.699129251,3.235621064,1.014120796,6.164426673,3.769216753,0.8523519863,6.299170048,3.951822571,0.8343314595,6.386881091,3.943564973,0.7557354393
28,5.960106313,3.776731989,0.5359340063,6.128151281,3.716273254,0.4851880737,6.074722878,3.898192638,0.577742181,5.436792347,2.858775477,0.344460676,5.537941887,2.964047752,-0.0650598527,5.887048172,3.413423236,0.6394589163,5.97982143,3.515769841,-0.03041485102,5.998010828,3.683285493,1.014176668,5.927547214,3.480490512,0.7779607659,5.679169368,3.149579055,0.3393430763,5.715738525,3.178680019,-0.1154602202,5.642832105,3.127992679,0.9466371133,6.001628894,3.63590013,0.9058633296,5.683592384,3.112936245,-0.2375630699,5.694306833,3.230684295,1.015150068,6.159521591,3.764182191,0.8534282319,6.294391999,3.946660505,0.8348585563,6.383498125,3.937348805,0.7568514105
29,5.955402625,3.771507757,0.5367474812,6.12344766,3.710989653,0.4860055164,6.07002664,3.89307055,0.5786763965,5.432164193,2.853353189,0.3457585718,5.533390734,2.958520666,-0.06397309758,5.882320182,3.408284194,0.6402530345,5.975169869,3.510323884,-0.02958849806,5.993374122,3.678247321,1.01495328,5.922515458,3.47497583,0.7782641043,5.67449214,3.144236678,0.3403106794,5.711192716,3.173272862,-0.1146435288,5.638064884,3.122875557,0.9475546061,5.997402829,3.630491741,0.9067879954,5.679223341,3.107540755,-0.2366097823,5.689493234,3.225600731,1.01605073,6.154655993,3.759093365,0.8543882838,6.289633757,3.941462098,0.8354300839,6.379935433,3.931384633,0.7578420707
30,5.950765552,3.766234774,0.5374228699,6.118801072,3.705660381,0.4866826559,6.065417566,3.887835924,0.5794610715,5.427562392,2.847886806,0.3467811411,5.528893578,2.953067437,-0.06321239771,5.877614912,3.403048352,0.6409928572,5.970568032,3.504927954,-0.02888241962,5.988692095,3.673006749,1.015573429,5.917576963,3.469430824,0.7784611858,5.669919657,3.138929801,0.3408617234,5.706648735,3.167811688,-0.1138598575,5.633375606,3.117673106,0.9482881304,5.993133627,3.62509791,0.9075405283,5.67491602,3.102202463,-0.2359604233,5.684732619,3.22029472,1.016703401,6.149848302,3.753973422,0.8552157005,6.284945794,3.936184454,0.8359345097,6.376715648,3.925337457,0.7586090718
31,5.946170739,3.760970328,0.5380625599,6.11418668,3.700301693,0.4873124384,6.060892569,3.8825572,0.5802374657,5.422989275,2.842375336,0.3477648248,5.524470352,2.947686061,-0.06262491372,5.872912254,3.397760208,0.6417608144,5.965991249,3.499513964,-0.02822198979,5.983964554,3.667649011,1.016106865,5.912656751,3.463818313,0.7785284461,5.665446516,3.133649767,0.341139009,5.702127605,3.16231458,-0.1130723288,5.628752622,3.112428597,0.9489575111,5.988977914,3.619642068,0.9082808738,5.670709249,3.096954881,-0.2354964944,5.680015337,3.21483161,1.017242002,6.145065187,3.748899362,0.8561000082,6.280322768,3.930857732,0.8364380244,6.374200824,3.918942816,0.7593038173
32,5.941587962,3.755730513,0.5388011924,6.109579535,3.694950454,0.4880413177,6.056397214,3.877275035,0.581125904,5.418423588,2.836861863,0.3488309655,5.520089704,2.942353637,-0.06200583951,5.868198158,3.392465974,0.6426672597,5.961430902,3.494094613,-0.02746180128,5.979190484,3.662266737,1.016729064,5.907732061,3.458200247,0.7786573013,5.661022167,3.128402939,0.3413913971,5.697625999,3.156805679,-0.1121605819,5.624142711,3.107193684,0.949721418,5.984818517,3.614196115,0.909133352,5.666553064,3.091753941,-0.235006118,5.675294642,3.209313404,1.017841556,6.140275865,3.743879014,0.8571384824,6.275713231,3.925535315,0.8370800195,6.372023285,3.912420507,0.7600876884
33,5.937012302,3.750489665,0.539576184,6.104977814,3.689603988,0.4888081038,6.051904365,3.871986136,0.5820504874,5.413860131,2.831357356,0.3498810263,5.515718435,2.937035431,-0.06136999004,5.863488154,3.387164825,0.6436107286,5.956878682,3.488668723,-0.02666813678,5.974415053,3.656886994,1.017412601,5.90281574,3.452584733,0.7788290465,5.656612093,3.123163727,0.3416516052,5.693136819,3.151299634,-0.1112211336,5.619535342,3.101957949,0.9505236751,5.980579726,3.608771646,0.910016616,5.662388265,3.086552176,-0.2344962995,5.670569545,3.203776636,1.018465123,6.135488934,3.738862353,0.8582222565,6.271104424,3.920213614,0.8377967599,6.369850646,3.905936976,0.7609139816
