upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz
-3.044687025,-1.091281868,-7.718989971,4.741800058,1.699608275,0.005992937729,3.013539206,0.7548698315,0.08782853544,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.742490867,1.699693694,0.006397234494,3.013988136,0.7552254255,0.08827563477,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.743149796,1.699662936,0.006663040813,3.014141422,0.7555153409,0.08835239445,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.743787342,1.699536655,0.006731023757,3.014114325,0.7557135564,0.08789038681,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.744424549,1.699390078,0.006652708525,3.01410462,0.755845261,0.08700899965,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.745060041,1.699193276,0.006468279269,3.014067754,0.7559515459,0.08594268676,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.74569248,1.698914931,0.006218344969,3.013958981,0.7560741972,0.08492546717,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.746280295,1.698588383,0.005981003062,3.013733353,0.7562554355,0.08419118739,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.746795435,1.698175019,0.005590662235,3.013121476,0.7563645297,0.08321905464,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.747278479,1.69762328,0.004915139021,3.012070924,0.7563173747,0.08161520555,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.747790976,1.696976943,0.004111733758,3.010861895,0.7562276097,0.07980227802,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.748394388,1.696279498,0.003338130558,3.009774371,0.75620639,0.07820293627,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.749150103,1.695574195,0.002752486947,3.009088142,0.7563626007,0.077239514,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.750078008,1.694736961,0.002251536695,3.008659423,0.7566540633,0.07678172724,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.751126972,1.693670808,0.001657659718,3.008175358,0.756966605,0.07641596816,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.752251609,1.692460868,0.001017784947,3.007662032,0.757302393,0.07613717853,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.753406355,1.691193909,0.000378659866,3.007145549,0.7576635185,0.07594010925,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.754545492,1.68995813,-0.0002130406271,3.006652034,0.758051941,0.07581931805,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.755623152,1.688843045,-0.0007106804866,3.006207628,0.7584694435,0.07576917398,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.756663454,1.687855539,-0.001103906287,3.005838487,0.7589175969,0.07578386866,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.757717552,1.68694632,-0.001410357909,3.005570777,0.7593977344,0.07585743435,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.758780128,1.686121022,-0.001626287608,3.00543067,0.7599109346,0.07598376892,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.759858024,1.685415227,-0.001732258374,3.005603861,0.7605552783,0.07632272736,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.760947649,1.684815363,-0.001744960068,3.006116108,0.7613701934,0.07693289643,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.762028297,1.684253065,-0.001717486979,3.006753641,0.7622656044,0.07765954077,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.76305299,1.683741526,-0.001652242533,3.007302604,0.7631462384,0.07835312438,NaN,NaN,NaN
