frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz
21,7.229383262,2.525632,-0.1318398981,7.072323259,2.462327774,-0.2863658952,7.072323259,2.462327774,-0.2863658952,6.912801681,1.980878056,0.01133894395,7.228124618,2.275142986,0.2739729629,7.29030704,2.396439194,0.05783964688,7.231438073,2.297692981,0.1777524317,7.338891459,2.466683345,0.150421812,7.174321463,2.244286583,0.06733825617,7.227714919,2.326472055,0.007352777767,7.356995866,2.51024008,0.04453715029,7.345197511,2.455554302,0.142478288,7.34980686,2.492372612,-0.4219339093
22,7.217565058,2.504216798,-0.1289384224,7.06109534,2.437338875,-0.2813735591,7.06109534,2.437338875,-0.2813735591,6.893609424,1.951845839,0.01532972755,7.213830418,2.250718015,0.2775258269,7.28252856,2.373946733,0.06306931757,7.218682567,2.277489861,0.170486614,7.326771163,2.444689972,0.1520605338,7.164196321,2.223744599,0.0695102048,7.217758271,2.306367797,0.009424994446,7.34603134,2.489551671,0.04863976879,7.336934084,2.429581988,0.1449477309,7.339603219,2.473212636,-0.4165536006
23,7.20542548,2.482528441,-0.1264056608,7.049209688,2.412202363,-0.2762976808,7.049209688,2.412202363,-0.2762976808,6.874535389,1.923486033,0.01803908688,7.198900755,2.22582043,0.2810233798,7.273834873,2.352056119,0.06824741732,7.205778552,2.256944441,0.1674756532,7.315128693,2.421742973,0.1557295232,7.153970288,2.204267817,0.07179301306,7.207389183,2.286118513,0.01101219776,7.334263133,2.46770812,0.0528573347,7.329153,2.404953811,0.1525279209,7.330752066,2.452362442,-0.4113039421
24,7.192873659,2.460290999,-0.1240020033,7.036562127,2.386577773,-0.2712071306,7.036562127,2.386577773,-0.2712071306,6.855127962,1.89492665,0.02032761496,7.183220791,2.200224473,0.2844001132,7.264149661,2.329882497,0.0731143022,7.192608269,2.235998863,0.1653045133,7.303667106,2.39774999,0.1597079424,7.142908714,2.184407237,0.07409687712,7.196392485,2.265408951,0.01259772467,7.322232239,2.444950797,0.05705066066,7.32049204,2.379979185,0.1603005053,7.321731995,2.430981935,-0.4059506522
25,7.180007569,2.437483819,-0.1215421603,7.022460422,2.361254153,-0.2662672758,7.022460422,2.361254153,-0.2662672758,6.83601621,1.86712575,0.02147153019,7.166467178,2.173316877,0.2874524364,7.252594384,2.307779132,0.07711550711,7.180050607,2.213894685,0.168494867,7.293820041,2.37099179,0.1627894102,7.130175973,2.164091174,0.07621899163,7.184516184,2.243333632,0.01524572266,7.310871057,2.420415928,0.06127312529,7.310041609,2.354865778,0.1668362767,7.313002483,2.408849394,-0.4004445945
26,7.166643598,2.413830165,-0.1193021993,7.007476232,2.33537129,-0.2614060557,7.007476232,2.33537129,-0.2614060557,6.81645567,1.838854206,0.02238532124,7.148901368,2.145530125,0.2901806075,7.23996736,2.285180185,0.08058639663,7.167057565,2.190975216,0.1727965484,7.283921418,2.343321308,0.1659291848,7.11643895,2.142876188,0.07836315308,7.171757703,2.220480507,0.01838628753,7.299270062,2.395013568,0.06536697863,7.297986752,2.329257518,0.1721430406,7.303349012,2.386634185,-0.3948575032
27,7.153187241,2.38811372,-0.1171356417,6.991693911,2.308514056,-0.2567788674,6.991693911,2.308514056,-0.2567788674,6.796096923,1.808753079,0.02425285968,7.130335151,2.115951363,0.2925201432,7.225036686,2.261388683,0.08286799842,7.153578429,2.167443735,0.1740450984,7.27366143,2.31449249,0.1684186945,7.100805994,2.118626706,0.08048893639,7.157388896,2.196667765,0.02409365677,7.287982663,2.36915025,0.06945255216,7.280622527,2.303524138,0.1718031817,7.289642127,2.366606932,-0.3885347175
28,7.139049383,2.361656574,-0.1152310936,6.975013107,2.281185029,-0.2522030198,6.975013107,2.281185029,-0.2522030198,6.775143547,1.778147043,0.02626837705,7.111004373,2.085804852,0.2945464975,7.208988545,2.237085102,0.08465936122,7.13941625,2.143296355,0.1753675613,7.262761426,2.285604421,0.1709427827,7.0842134,2.093633164,0.08273213267,7.142153577,2.172239962,0.03016316592,7.276109491,2.3430068,0.07340939649,7.261416279,2.277668563,0.1698335219,7.275062372,2.346369907,-0.3822188337
29,7.123964502,2.33528631,-0.1143788639,6.957838202,2.253501786,-0.2480353601,6.957838202,2.253501786,-0.2480353601,6.753372928,1.746638592,0.02903680565,7.091351802,2.056075062,0.2960230464,7.191645968,2.213473832,0.08542971483,7.124335707,2.119027864,0.1767873453,7.249873189,2.260069162,0.1739207484,7.067236117,2.069574665,0.08484911145,7.125948967,2.147736548,0.03570158281,7.262470069,2.318603539,0.07692340632,7.239629757,2.252406401,0.164300053,7.260444787,2.325648257,-0.3769016816
30,7.108331673,2.308402466,-0.1140848923,6.939983306,2.225416715,-0.2441533106,6.939983306,2.225416715,-0.2441533106,6.731023454,1.714349552,0.03219227363,7.071100536,2.025889361,0.2971056061,7.172592959,2.190067048,0.08517599046,7.108765628,2.094495509,0.1780620737,7.236196563,2.235505043,0.1768857453,7.049321356,2.045292473,0.08688020991,7.108720339,2.122844925,0.04166255308,7.248072663,2.294712413,0.0802200726,7.214764571,2.227578182,0.1555033775,7.244932884,2.305091621,-0.3718544555
31,7.091077739,2.281112548,-0.1136544025,6.920231102,2.19707151,-0.239707141,6.920231102,2.19707151,-0.239707141,6.707793084,1.682961189,0.03502728379,7.049900885,1.995754489,0.297959928,7.153860126,2.165105423,0.08557415765,7.091462992,2.068249527,0.1803320297,7.221477936,2.210135216,0.1796751556,7.031247948,2.020139714,0.09014738822,7.091182004,2.097032003,0.04628990132,7.23273991,2.269656393,0.08328457588,7.19172606,2.201520509,0.1489174273,7.229821873,2.283056493,-0.3665473818
32,7.071499121,2.253620033,-0.11318629,6.898702751,2.167840254,-0.2345350045,6.898702751,2.167840254,-0.2345350045,6.682919277,1.650278903,0.03795059257,7.027648169,1.965699971,0.2987169594,7.137074507,2.137278172,0.0869701408,7.071415567,2.039026502,0.1843865048,7.206071496,2.183442166,0.182156127,7.012739935,1.992990347,0.09561656185,7.0735273,2.069579973,0.04920054781,7.216669396,2.24260522,0.0860217923,7.171760942,2.171880317,0.1431438463,7.214479124,2.259517651,-0.3613734227
