ope_data.tx,ope_data.ty,ope_data.tz,ope_data.rx,ope_data.ry,ope_data.rz
-0.446176838,-0.1989416918,2.588684743,-14.19547984,27.12775709,8.629252514
-0.4456099221,-0.200060023,2.587621576,-14.15447975,27.14428,8.66267708
-0.4449668908,-0.2011409575,2.586619016,-14.1153176,27.16129777,8.69660405
-0.4442325768,-0.2021690827,2.585704212,-14.07883122,27.17794042,8.731174501
-0.4433917032,-0.2031290871,2.584904333,-14.04586176,27.19333702,8.766525667
-0.4424288907,-0.2040057408,2.584246571,-14.01725362,27.20661602,8.802791349
-0.4413782328,-0.2049035759,2.583591243,-13.9909513,27.21803104,8.84114033
-0.4402908609,-0.205929769,2.582790388,-13.96430367,27.22803346,8.882527337
-0.4391768121,-0.207073208,2.581858601,-13.93726514,27.23604852,8.926761531
-0.4380460271,-0.2083229127,2.58081021,-13.90979174,27.24150208,8.973650325
-0.4369083496,-0.2096680233,2.579659267,-13.8818412,27.24382063,9.022999376
-0.4357241806,-0.2110265892,2.57853101,-13.85555015,27.24338135,9.074101797
-0.4344561902,-0.2123131474,2.577547387,-13.83283591,27.24079055,9.126090146
-0.4331175928,-0.2135116905,2.576716915,-13.81332787,27.23581896,9.178527758
-0.4317216575,-0.2146062688,2.576047602,-13.79665436,27.22823729,9.230977836
-0.4302817054,-0.215580999,2.575546949,-13.78244262,27.2178162,9.283003577
-0.4287846845,-0.2165218022,2.575108481,-13.76884107,27.20324136,9.336245482
-0.4272274832,-0.2175232109,2.574616096,-13.75407512,27.18391279,9.39217346
-0.4256383689,-0.2185821728,2.574062089,-13.73788539,27.16067282,9.450096203
-0.4240456114,-0.2196954283,2.573438233,-13.72001065,27.13436405,9.509324535
-0.4224774855,-0.220859488,2.572735764,-13.70018756,27.10582937,9.569171815
-0.4209622743,-0.2220706134,2.571945386,-13.67815029,27.07591196,9.62895433
-0.4195469036,-0.2233266691,2.57103382,-13.65352747,27.04510738,9.687989426
-0.4182524297,-0.2246026028,2.570015275,-13.62696178,27.01408483,9.745613544
-0.4170682472,-0.2258595924,2.568951017,-13.59970314,26.98395022,9.801179388
-0.4159836402,-0.2270582069,2.567901967,-13.57299705,26.95581224,9.854046542
-0.4149120273,-0.2281806063,2.566911114,-13.54775761,26.92772632,9.905617323
-0.4137731756,-0.2292306792,2.566002801,-13.52447384,26.89761971,9.957494033
-0.4125658012,-0.2302009356,2.565209658,-13.50374752,26.86641232,10.00934478
-0.4112886067,-0.2310835652,2.564564204,-13.48617657,26.83502597,10.06084266
-0.409940295,-0.2318704377,2.564098838,-13.47235503,26.8043841,10.11166528
-0.4085195819,-0.2325530946,2.56384583,-13.46287341,26.77541126,10.161494
-0.40702521,-0.2331227303,2.563837308,-13.45831915,26.74903242,10.21001282
-0.4055134906,-0.2335783334,2.564112216,-13.4594769,26.72552545,10.25643049
-0.4040588498,-0.2339465341,2.564638372,-13.46574633,26.70505807,10.30011469
-0.4026872462,-0.2342599169,2.565340946,-13.47563411,26.68838819,10.34098748
-0.4013328476,-0.2345008868,2.566215847,-13.48966285,26.67711458,10.37929318
-0.3999289758,-0.2346524532,2.567249801,-13.50797359,26.67140537,10.41566234
-0.3985002696,-0.234749039,2.568354162,-13.52849922,26.66987172,10.45059441
-0.3970712777,-0.2348259121,2.569440474,-13.54917201,26.67112607,10.48459059
