ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz
0.7926917449,-0.7927151759,1.922032408,2.412055854,1.080045283,0.5057543675,3.739753398,3.101380322,0.4353254153,4.192218033,2.028495908,0.3688396204
0.7934712406,-0.7919586268,1.923842696,2.414138072,1.078667295,0.5056027869,3.741252177,3.10193216,0.4347611375,4.192549103,2.028233866,0.3680706478
0.7942986296,-0.7911972399,1.925658889,2.41627159,1.077342427,0.5054600277,3.742559778,3.102393728,0.4341646888,4.19257453,2.028333473,0.3672902181
0.7951092695,-0.7904578826,1.92742431,2.418378531,1.076013944,0.5052925112,3.743730253,3.102737377,0.4336074305,4.192478313,2.028555941,0.3665390365
0.7958384208,-0.7897675933,1.929082507,2.420380966,1.07462505,0.5050672518,3.744817788,3.102935427,0.4331607923,4.192444454,2.028662148,0.3658582178
0.7964212705,-0.7891535552,1.930577196,2.422200873,1.073118982,0.5047518319,3.74587659,3.102960168,0.4328960687,4.19265694,2.028412546,0.3652893521
0.7969021833,-0.7886254698,1.931761089,2.423843678,1.071468155,0.5042860819,3.746980926,3.1028076,0.4327609382,4.192882698,2.028081342,0.3647699045
0.7973661755,-0.7881617818,1.932620508,2.425387161,1.069712934,0.5036736035,3.748195526,3.102510798,0.4326692669,4.192834858,2.028031157,0.3642277862
0.7978091362,-0.78774241,1.933300054,2.426861549,1.067899051,0.5029772327,3.749560014,3.102097685,0.4326407114,4.19261658,2.028154655,0.363690231
0.798226831,-0.7873469278,1.933944764,2.428296834,1.066072681,0.5022584996,3.751113656,3.101596303,0.4326938176,4.19233101,2.028344068,0.3631847452
0.7986149634,-0.7869546788,1.9347001,2.429722819,1.064280274,0.5015775473,3.752895279,3.101034859,0.4328457648,4.192081304,2.028491052,0.3627392973
0.7989690125,-0.7865446275,1.935712005,2.431169167,1.062568469,0.500993267,3.754943164,3.10044178,0.4331120918,4.19197062,2.028486704,0.362382322
0.7992365954,-0.7861509886,1.936808881,2.432569393,1.060870387,0.5004524024,3.757104923,3.099818307,0.4335311566,4.191956743,2.028339385,0.3621424199
0.7993835986,-0.7858160174,1.937745108,2.433851896,1.059100411,0.4998702004,3.759242582,3.099125448,0.4340936141,4.191924859,2.028144125,0.3620158917
0.7994325483,-0.7855301571,1.938556006,2.435038565,1.057277241,0.4992571843,3.761417605,3.098330754,0.4347476411,4.191869202,2.02792166,0.3619829968
0.7994059809,-0.7852837723,1.939276892,2.436151283,1.055419563,0.4986234083,3.76369835,3.097398522,0.4354599032,4.191783992,2.027692748,0.3620239776
0.799326419,-0.785067167,1.939943108,2.437211958,1.053545963,0.4979784885,3.766162917,3.096287878,0.4362229076,4.191663445,2.027478212,0.3621190181
0.7992163542,-0.7848705973,1.940590037,2.438242542,1.051674868,0.497331628,3.768899061,3.094952312,0.4370547222,4.19150177,2.027298967,0.3622482127
0.7990982344,-0.7846842766,1.941253123,2.439265042,1.049824511,0.4966916355,3.771853822,3.093544265,0.4378596362,4.191293176,2.02717604,0.3623915431
0.7989944574,-0.7844983736,1.941967872,2.440301519,1.048012925,0.496066938,3.774910912,3.092215006,0.4385344061,4.191031862,2.027130567,0.3625288658
0.7989273697,-0.784303004,1.942769856,2.441374077,1.046257956,0.4954655864,3.778069748,3.090912026,0.4391034903,4.190712022,2.027183787,0.3626399087
0.7989192702,-0.7840882144,1.943694697,2.442504844,1.044577308,0.4948952539,3.781331271,3.089581586,0.4395951429,4.19032783,2.027357013,0.3627042767
0.7989924206,-0.7838439602,1.944778057,2.443715945,1.042988614,0.4943632281,3.784698128,3.088168479,0.4400418384,4.18987344,2.027671599,0.3627014674
0.799004785,-0.7836063645,1.945882851,2.444977002,1.04146803,0.4939448523,3.788178333,3.086503015,0.4406126578,4.189383521,2.028002729,0.3626944752
0.7988607395,-0.7834052309,1.946899282,2.446243794,1.039979464,0.4936643386,3.791841174,3.084568701,0.4413635428,4.188881933,2.028263997,0.3627425965
0.798652205,-0.7832209631,1.947904065,2.447517543,1.038522182,0.493451337,3.795726615,3.082519835,0.4421611713,4.188346556,2.028534618,0.3628193646
0.7984711415,-0.7830339878,1.948974063,2.448799113,1.037095825,0.4932341686,3.799805512,3.080397306,0.4429466396,4.187755227,2.028894183,0.3628977512
0.7984095403,-0.7828247452,1.95018629,2.45008892,1.035700542,0.492939609,3.80404923,3.078242173,0.4436619147,4.187085721,2.029422712,0.3629500562
0.7985594704,-0.7825736598,1.951617912,2.451387058,1.034336746,0.4924931202,3.808429643,3.076095635,0.444249856,4.186315704,2.030200692,0.3629478083
0.798873545,-0.7823016038,1.953293765,2.452796088,1.033051264,0.491962397,3.812923687,3.073910035,0.4446844454,4.185514959,2.031145119,0.36282593
0.7992380357,-0.7820357213,1.95515195,2.454361972,1.031865709,0.4914494274,3.817500005,3.071612684,0.4450068894,4.184736527,2.032139764,0.3625820995
0.7996459165,-0.7817661623,1.957139571,2.456000087,1.030742438,0.4909317788,3.822118684,3.069207099,0.4452625873,4.183932835,2.033215927,0.3622808149
0.8000906294,-0.7814836458,1.959203647,2.457626263,1.029643378,0.4903887499,3.826740196,3.066696498,0.4454983235,4.183056286,2.034405337,0.3619856936
0.8005661295,-0.7811795319,1.961291099,2.459156876,1.028529846,0.489801448,3.831325395,3.064083786,0.4457622575,4.182059236,2.035740229,0.3617593258
0.801066891,-0.7808458388,1.963348762,2.460508826,1.027362628,0.4891529352,3.835835492,3.061371562,0.4461038904,4.180893982,2.037253388,0.3616632092
0.8016176292,-0.7804856958,1.965447717,2.461755307,1.026145751,0.4884045936,3.840368045,3.058583437,0.4464215673,4.179590401,2.03896197,0.3616345626
0.8022392972,-0.7801080468,1.967678048,2.463016836,1.024914531,0.487544045,3.845030417,3.055735484,0.4466051896,4.178209392,2.040849812,0.361576172
0.8029211892,-0.779714214,1.970014948,2.464281753,1.023676429,0.4865959244,3.849798344,3.052818778,0.4466916221,4.176749724,2.042900171,0.3614970808
0.8036527225,-0.779305674,1.972433512,2.465538496,1.022438988,0.4855856646,3.854646988,3.049824449,0.4467164828,4.175210176,2.045096316,0.3614063719
0.804423441,-0.7788840699,1.974908736,2.466775536,1.021209964,0.4845394379,3.859550935,3.046743737,0.4467141495,4.173589558,2.047421521,0.361313201
0.8052230164,-0.7784512201,1.977415516,2.467981332,1.019997436,0.483484082,3.864484182,3.043568033,0.4467177495,4.171886726,2.049859049,0.3612268358
0.8060412478,-0.7780091231,1.979928652,2.46914428,1.018809864,0.4824470096,3.869420122,3.040288902,0.4467591325,4.170100596,2.052392137,0.3611567032
0.8068680581,-0.7775599593,1.982422847,2.470252695,1.017656133,0.481456102,3.874331521,3.036898105,0.4468688272,4.168230163,2.055003975,0.3611124426
0.8076934895,-0.777106088,1.98487271,2.471294784,1.016545542,0.4805395892,3.879190491,3.033387604,0.4470759808,4.166274517,2.057677676,0.3611039674
0.8085076951,-0.7766500415,1.987252758,2.472258651,1.015487774,0.4797259156,3.883968458,3.029749561,0.4474082823,4.164232859,2.060396248,0.3611415331
0.8093009297,-0.7761945152,1.989537417,2.473132298,1.014492823,0.4790435932,3.888636121,3.02597633,0.4478918685,4.162104522,2.063142559,0.3612358132
0.8101446123,-0.775695322,1.992079336,2.473882295,1.013430741,0.4784016791,3.893227916,3.022075041,0.4484593179,4.159855527,2.066006883,0.3614191815
0.8110858304,-0.7751249325,1.995084658,2.474513077,1.012229671,0.4777192346,3.897801451,3.018063504,0.4490311085,4.157470919,2.069058596,0.3616881354
0.8120798452,-0.7745128517,1.99830684,2.475069175,1.010987189,0.4770388661,3.90236006,3.013951098,0.4496096221,4.154978881,2.072248531,0.3620008812
0.8130844668,-0.7738915526,2.001497472,2.475594776,1.009801205,0.4764015538,3.906905204,3.009748322,0.4501919576,4.152407888,2.075526786,0.3623169702
0.8140602599,-0.7732967151,2.004406203,2.476133736,1.008769858,0.4758464585,3.911436636,3.005466766,0.4507703623,4.149786727,2.078842734,0.3625973278
0.8149700325,-0.7727667155,2.006781045,2.476729695,1.007991327,0.4754112043,3.915952465,3.001119112,0.4513323547,4.14714451,2.082145013,0.3628042715
0.8158749421,-0.7722250963,2.008996591,2.477326425,1.007314041,0.4751324138,3.92044851,2.996674736,0.4519642274,4.144424786,2.085551669,0.3630180849
0.8168392977,-0.7715989981,2.011473769,2.477852444,1.006571754,0.4749911485,3.924917888,2.992099978,0.4527478629,4.141571532,2.089168538,0.3633133886
0.8178323824,-0.7709345405,2.014028606,2.47832844,1.005840269,0.4749401872,3.929351788,2.987404869,0.4536556351,4.1386148,2.092925259,0.3636453525
0.8188245957,-0.770279368,2.016476208,2.478775161,1.005194859,0.4749314327,3.933738977,2.982601054,0.4546524534,4.135584678,2.096751353,0.3639694822
0.8197873747,-0.7696825883,2.018630828,2.479213486,1.004710138,0.4749161208,3.93806539,2.977702146,0.4556943634,4.132511274,2.100576242,0.3642415894
0.8206928114,-0.7691943653,2.0203061,2.479664446,1.004460072,0.4748450742,3.942348577,2.972687292,0.4566657669,4.129424735,2.104329246,0.3644178246
0.8215669604,-0.7688070869,2.021475387,2.480163207,1.004427659,0.4747903659,3.946600957,2.967536187,0.4574738002,4.126258269,2.108088342,0.3644771168
0.8224514964,-0.7684747098,2.022277125,2.480715959,1.004538277,0.4748427952,3.950797394,2.962273202,0.4581304723,4.122940962,2.111965464,0.3644399557
0.8233416881,-0.7681896953,2.022772605,2.481300431,1.004778976,0.4749813506,3.954911144,2.956947338,0.458652407,4.119496875,2.115940554,0.3643254393
0.8242325225,-0.76794413,2.023023415,2.481894356,1.005136789,0.4751851533,3.958921787,2.951601738,0.4590755218,4.115950153,2.119993274,0.3641530821
0.8251189192,-0.7677299358,2.023091371,2.482475399,1.005598837,0.4754333079,3.962815258,2.946273064,0.4594555152,4.112325033,2.124102996,0.3639428291
0.825995897,-0.7675390334,2.02303846,2.483021096,1.006152407,0.4757047973,3.96664325,2.940798769,0.4597972414,4.108645861,2.128248804,0.3637150674
0.8268586934,-0.7673634593,2.022926797,2.48350882,1.006784999,0.4759784241,3.970417998,2.935098843,0.4599972223,4.104937097,2.132409487,0.3634906385
0.8277028353,-0.7671954352,2.022818579,2.483915763,1.007484362,0.4762327959,3.974082517,2.929319389,0.4599980539,4.10122333,2.136563551,0.3632908474
0.8285241629,-0.7670273912,2.022776066,2.484218935,1.008238488,0.4764463563,3.977598255,2.923589514,0.4597986541,4.097529283,2.14068923,0.3631374717
0.8293188046,-0.7668519403,2.022861561,2.484395189,1.009035592,0.4765974602,3.980946186,2.918017585,0.4594593872,4.093879825,2.144764492,0.3630527676
0.8300831048,-0.7666618074,2.023137408,2.484421264,1.009864062,0.4766644923,3.984125223,2.912690347,0.4590989762,4.090299968,2.148767065,0.3630594742
0.8308877035,-0.766462534,2.023453545,2.484414238,1.010834657,0.4766197961,3.987187315,2.907440698,0.4586094032,4.086648169,2.15286231,0.3630290582
0.831771564,-0.766267705,2.023646079,2.484464045,1.012015842,0.476481249,3.990169243,2.902078274,0.4578337403,4.082823198,2.157159036,0.362868383
0.8326837347,-0.7660822783,2.023756857,2.484506424,1.013333125,0.4762951588,3.993060327,2.896638322,0.4568609655,4.078911058,2.161549632,0.3626547523
0.833573601,-0.7659115592,2.023827932,2.484476767,1.014712725,0.4761069289,3.995852464,2.891153645,0.4557879455,4.074998365,2.165926079,0.3624669916
0.8343909896,-0.7657612875,2.023901505,2.484310098,1.016081615,0.4759609253,3.99854016,2.885654367,0.4547196174,4.071172389,2.17017998,0.3623854558
0.8350861422,-0.7656376105,2.024019872,2.483941075,1.017367513,0.475900549,4.001120445,2.880167739,0.453768971,4.067521019,2.174202592,0.3624919732
0.8357333439,-0.7654830123,2.024231288,2.483361591,1.0186581,0.4758179238,4.00355762,2.874854709,0.4528209246,4.06389988,2.178206063,0.3627415247
0.8364140388,-0.7652647407,2.024517671,2.482629533,1.020064692,0.4756184866,4.005826104,2.869844034,0.4517334588,4.06015327,2.182395414,0.3630320564
0.8370894217,-0.7650264416,2.024821971,2.481778413,1.021550932,0.4753649255,4.007941057,2.865110075,0.4505898782,4.056353019,2.186650819,0.3633623449
0.8377206645,-0.7648119401,2.025087292,2.480841921,1.023080436,0.4751197105,4.009919024,2.860624283,0.4494793356,4.052571689,2.190852281,0.363733152
0.8382689199,-0.764665236,2.025256893,2.479853924,1.024616829,0.4749450228,4.01177768,2.856355546,0.4484960151,4.048882585,2.194879649,0.3641472005
0.8386953348,-0.7646304633,2.025274149,2.478848435,1.026123754,0.4749027174,4.013579356,2.852064391,0.447750781,4.045359721,2.198612623,0.3646090611
0.8390263898,-0.7646594995,2.025299461,2.477735907,1.027616666,0.4749495563,4.015341872,2.847660812,0.4472584171,4.041979885,2.202111681,0.3651887804
0.8393131768,-0.7646819304,2.025494118,2.476425049,1.029137117,0.4750025081,4.01702605,2.843297092,0.4469555515,4.03866652,2.205517857,0.3659331896
0.8395535665,-0.7647083718,2.025802897,2.474947475,1.030687766,0.475063796,4.018625153,2.838992806,0.4468117542,4.035414086,2.208831636,0.3668132572
0.8397452548,-0.7647493376,2.026170598,2.47333499,1.032271076,0.4751360722,4.020132144,2.834768412,0.4467951531,4.032217018,2.212053608,0.3677998794
0.8398858509,-0.764815316,2.02654204,2.47161961,1.033889302,0.4752224457,4.02153975,2.83064517,0.4468725473,4.029069737,2.21518445,0.3688638799
0.8399729327,-0.7649168132,2.02686205,2.469833572,1.035544494,0.4753265203,4.02284052,2.826645069,0.4470095119,4.025966668,2.218224925,0.3699760102
0.8400040705,-0.7650643632,2.027075479,2.468009355,1.037238491,0.4754524427,4.024026863,2.822790779,0.4471704939,4.02290224,2.221175872,0.3711069493
0.839976818,-0.7652685037,2.027127209,2.466179696,1.038972929,0.4756049609,4.025091082,2.819105611,0.4473189003,4.019870891,2.224038208,0.3722273026
0.8398886708,-0.7655397199,2.02696218,2.464377606,1.040749249,0.4757894915,4.02602538,2.815613496,0.4474171791,4.016867069,2.226812927,0.3733076017
0.8397369929,-0.765888353,2.026525424,2.462636385,1.0425687,0.4760121971,4.026821872,2.812338988,0.447426894,4.01388523,2.229501103,0.3743183029
0.8395189108,-0.766324477,2.025762103,2.460989635,1.044432355,0.4762800727,4.027496626,2.809208276,0.4474450902,4.010919829,2.2321039,0.3752297854
0.8391410866,-0.7668174691,2.024822326,2.459380825,1.046408576,0.4767291252,4.028055765,2.80619813,0.4477833298,4.008061628,2.234536751,0.3762609272
0.8385666855,-0.7673381276,2.023848856,2.457735389,1.048527373,0.4774082608,4.028490392,2.803360806,0.4485263661,4.005360327,2.236761189,0.3775555504
0.8378771651,-0.7678982314,2.0227762,2.456060574,1.050731959,0.4781960676,4.028814567,2.800660431,0.4494992796,4.00274864,2.238847926,0.378970813
0.8371537983,-0.7685094101,2.021539302,2.45436447,1.052965056,0.4789733318,4.029042545,2.798061525,0.4505264399,4.000159232,2.240868067,0.3803631646
0.8364776149,-0.7691831149,2.020073606,2.452656134,1.05516876,0.4796230863,4.029188872,2.795529009,0.4514316038,3.997524774,2.242893099,0.3815883943
0.8359292195,-0.7699305092,2.018314992,2.450945513,1.057284582,0.4800305478,4.02926834,2.793028219,0.4520379741,3.994777871,2.244994936,0.3825016389
0.8353302975,-0.7708009983,2.016126829,2.449208059,1.059412007,0.4803294086,4.029271022,2.790534403,0.4525308285,3.99194522,2.247051412,0.383272316
0.8345166011,-0.7718053561,2.013510732,2.447424433,1.061654874,0.4806959161,4.029185487,2.788060251,0.4531261623,3.989104801,2.248934452,0.384119645
0.8335896677,-0.7728970329,2.010610098,2.445613029,1.063960778,0.4810809749,4.029024502,2.785627919,0.4536926916,3.986265989,2.250707398,0.3849730942
0.8326515647,-0.7740305345,2.007568146,2.443792406,1.066277076,0.4814358077,4.028801053,2.783260008,0.4540989635,3.983438202,2.252433512,0.3857623369
0.8318049704,-0.7751616495,2.004527857,2.44198129,1.068550842,0.4817118808,4.028404973,2.780989799,0.454395609,3.980630902,2.254175992,0.3864172753
0.8311532022,-0.7762474767,2.001631926,2.440198531,1.070728887,0.4818608864,4.02778399,2.77885347,0.4545938007,3.977853562,2.255997956,0.3868680467
0.8306146839,-0.7773553582,1.998666267,2.43839308,1.072863682,0.4818741986,4.027020845,2.776822758,0.4546220768,3.975035237,2.257877108,0.3871247567
0.8300450964,-0.7785650265,1.995366324,2.436514538,1.075036033,0.4817883214,4.026196968,2.774852769,0.4544971577,3.972120318,2.259745329,0.38725495
0.8294542887,-0.7798532837,1.991798768,2.434582794,1.077235161,0.4816230263,4.025412845,2.772942744,0.4541690411,3.969141255,2.261596872,0.3872751194
0.8288524314,-0.7811973122,1.988030145,2.432617746,1.079450366,0.4813983148,4.024770521,2.771089751,0.4535932946,3.966130493,2.263425932,0.3872017326
0.8282501052,-0.7825747663,1.98412687,2.430639287,1.081671032,0.4811343828,4.024126266,2.769265656,0.4528811689,3.963120472,2.265226651,0.3870511782
0.8276583674,-0.7839638383,1.98015521,2.428667299,1.083886639,0.4808515934,4.023320739,2.767464886,0.4521687556,3.960143637,2.266993119,0.3868397362
0.827088796,-0.7853432994,1.976181273,2.426721646,1.086086759,0.4805704564,4.022433357,2.765717393,0.4514514921,3.957232436,2.268719362,0.3865835727
0.8265535116,-0.786692517,1.972271005,2.42482218,1.088261065,0.4803116165,4.021543446,2.764053522,0.4507241341,3.95441934,2.270399339,0.3862987585
0.8260651778,-0.7879914462,1.968490179,2.422988735,1.090399328,0.4800958478,4.020730253,2.762503983,0.449980794,3.951736853,2.272026922,0.3860013113
0.8256369794,-0.7892205974,1.964904399,2.421241136,1.092491413,0.479944057,4.020072947,2.761099799,0.4492150077,3.949217528,2.273595884,0.3857072627
