frame,A01_data.tx,A01_data.ty,A01_data.tz,AA01_data.tx,AA01_data.ty,AA01_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
21,7.445358272,1.608878875,-0.6703941685,7.243462309,1.838599271,-0.9742126548,7.048494761,1.335703368,0.0006782838934,7.250220279,1.481697696,0.06844920927,7.577598794,1.686912677,-0.1014380578,7.949174698,1.991709432,-1.56103268,7.296138623,1.522033926,-0.1613630146,7.13634329,1.487448493,-1.389756761,6.981442858,1.401638328,-1.187063717,7.253033634,1.560985217,-1.400369673,7.240013674,1.571098459,-1.549820102,6.999313373,1.34805862,-0.666957656,7.426391392,1.617914696,-0.785179783,7.938863056,1.937498316,-0.8936447776,7.927014325,1.943812381,-0.9922859063,7.679992581,1.759476899,-0.4768510572
22,7.441296148,1.605771093,-0.6656330608,7.239400645,1.835727871,-0.9694667721,7.042832755,1.333830647,0.005630183878,7.24526902,1.479739116,0.07329379828,7.573331445,1.684105923,-0.09630199936,7.94519415,1.988566094,-1.555574067,7.291682099,1.518861634,-0.1573110425,7.132477535,1.484604005,-1.385144485,6.977151678,1.399155672,-1.182443932,7.248921194,1.558052277,-1.395614673,7.235317657,1.567389563,-1.542524053,6.995457999,1.345034842,-0.6623782626,7.421908328,1.615353767,-0.7802460018,7.935158591,1.934709074,-0.889512859,7.923647181,1.941194111,-0.9877283906,7.675608045,1.756546443,-0.472119978
23,7.437219695,1.6026501,-0.6610721766,7.235289945,1.832936102,-0.964848441,7.036791578,1.332077546,0.01043729869,7.240324366,1.477505778,0.07796475865,7.569054041,1.681225746,-0.0914093976,7.941254623,1.985400325,-1.550118171,7.287193197,1.515538856,-0.1535430986,7.128547717,1.481838302,-1.380811926,6.97280993,1.396549489,-1.178185328,7.244613942,1.55507049,-1.390956093,7.230495847,1.563680354,-1.534984238,6.991495972,1.342074564,-0.657936117,7.417249955,1.612964324,-0.7754708247,7.931314807,1.931722956,-0.8849672073,7.920462886,1.938674616,-0.9833983339,7.671149839,1.7536832,-0.4675674885
24,7.43309698,1.599487587,-0.6567300053,7.231115782,1.830183106,-0.9603875854,7.030491744,1.330308933,0.01504065761,7.235361684,1.474968852,0.082411225,7.564728404,1.678207767,-0.08677775117,7.937328214,1.98224118,-1.544739759,7.282646026,1.512062242,-0.1500437833,7.124530558,1.479139749,-1.376767529,6.968408622,1.39385084,-1.174275285,7.240143481,1.552065287,-1.386452986,7.225566763,1.55999699,-1.527406693,6.987398226,1.339144357,-0.6536903539,7.412452976,1.61064212,-0.7708874929,7.92731129,1.928552334,-0.8801189887,7.917328203,1.936173641,-0.9792527841,7.666612895,1.750816784,-0.4632025661
25,7.428943918,1.596318163,-0.6525244508,7.226907038,1.827466171,-0.9560292709,7.024106273,1.328487783,0.01949900206,7.230405291,1.472206801,0.08669055181,7.560360972,1.675091337,-0.08232893564,7.933428336,1.979133492,-1.539437109,7.278063232,1.508521403,-0.1466916827,7.120455158,1.476504871,-1.372911903,6.963992549,1.391108753,-1.170588114,7.235592226,1.549072258,-1.382061026,7.220600227,1.556366155,-1.519894627,6.983189639,1.33626362,-0.6495833195,7.407602004,1.608337798,-0.7664293226,7.923168596,1.925268859,-0.8749994365,7.914150632,1.933663622,-0.9751695796,7.662036004,1.747957912,-0.4589429886
26,7.424776403,1.593176015,-0.648373056,7.222692603,1.824782238,-0.9517182859,7.017808106,1.326576602,0.02387133184,7.225479493,1.469297708,0.09086029588,7.555958161,1.671915457,-0.07798456486,7.929568561,1.976121962,-1.534208098,7.273467394,1.505005281,-0.143364883,7.116350534,1.473929755,-1.369145374,6.959606374,1.388371742,-1.166997778,7.231042649,1.546126643,-1.377735399,7.215666463,1.552815018,-1.512550631,6.978895114,1.333451406,-0.6455570118,7.402781592,1.606001594,-0.7620294255,7.918907501,1.921943811,-0.8696394164,7.910837511,1.931116489,-0.9710266737,7.65745792,1.745116817,-0.4547062262
27,7.420610339,1.590094842,-0.6441932357,7.218501392,1.822127857,-0.9473994124,7.011770131,1.324537346,0.02821666688,7.220608641,1.466319204,0.09497812694,7.551526394,1.668718686,-0.07366617657,7.925762639,1.973251168,-1.529050472,7.268881059,1.501602049,-0.1399411393,7.112245629,1.47140993,-1.365368272,6.955294661,1.385687663,-1.163378089,7.226577299,1.543263279,-1.373431034,7.210836111,1.549371293,-1.505476945,6.974539591,1.330726345,-0.6415533384,7.398076243,1.603583271,-0.757621,7.914549039,1.918648288,-0.8640695956,7.907296037,1.928503617,-0.9667024137,7.652917374,1.742303192,-0.4504097012
28,7.416461637,1.587107839,-0.6399023666,7.214362339,1.819499179,-0.9430175191,7.006165196,1.32233141,0.03259401785,7.215817161,1.463348432,0.09910183119,7.547072119,1.665539098,-0.06929527856,7.922024488,1.970565554,-1.523961978,7.264326747,1.498399109,-0.1362979621,7.108169311,1.468940336,-1.36148103,6.951101874,1.383103683,-1.159602785,7.222278796,1.540516586,-1.369102709,7.206180223,1.546063177,-1.498775563,6.97014804,1.328106613,-0.6375142256,7.393570426,1.601032111,-0.7531373946,7.910114519,1.915453335,-0.8583204993,7.903433276,1.925795857,-0.9620756042,7.648453077,1.739526192,-0.4459708759
29,7.412421694,1.584197167,-0.6354377706,7.210321248,1.8168877,-0.938528148,7.00100935,1.319991249,0.03717568974,7.21123024,1.460262351,0.1032777433,7.542562136,1.662385301,-0.06488637798,7.918559012,1.967986353,-1.518849477,7.259859634,1.49542917,-0.1323681068,7.104074847,1.466507702,-1.357526288,6.947027022,1.380625587,-1.155709045,7.218036315,1.53769732,-1.364632142,7.20171612,1.542695188,-1.492066738,6.965773995,1.325596588,-0.6333938454,7.389283357,1.598322606,-0.7485386482,7.905334458,1.912045592,-0.8514491154,7.899358967,1.923001911,-0.9571162571,7.644084596,1.736902256,-0.4412806791
30,7.408472695,1.581466109,-0.6310375504,7.20633486,1.814458296,-0.9341230006,6.996101901,1.317676504,0.04176109894,7.206829596,1.457066608,0.1072939851,7.537971298,1.65932888,-0.0606797626,7.915350706,1.965643718,-1.513831826,7.255456765,1.492704795,-0.1284327032,7.099903829,1.464303924,-1.353776563,6.943009352,1.378359261,-1.152004653,7.213713818,1.534928972,-1.360210892,7.197334138,1.539402399,-1.485320089,6.961398674,1.323300264,-0.6294150285,7.385106695,1.595659989,-0.7440454435,7.9001386,1.908467383,-0.8434601856,7.895199347,1.920336476,-0.9521121215,7.63976249,1.734568524,-0.4365701106
31,7.404505531,1.578939668,-0.626806991,7.202340656,1.812236555,-0.9298710668,6.991321296,1.315436866,0.04614207472,7.202453552,1.453938212,0.1110974604,7.533348664,1.656387922,-0.05668100693,7.912132546,1.963590854,-1.509004638,7.251055641,1.490159076,-0.1246192026,7.0957165,1.462345679,-1.350201881,6.93905011,1.376242085,-1.1484851,7.209405256,1.532428624,-1.355990721,7.192966311,1.536405688,-1.478895059,6.95697823,1.32119431,-0.6256314406,7.380973833,1.593134748,-0.73972084,7.894889725,1.905107172,-0.8355777298,7.890928201,1.9178485,-0.9471931284,7.635457639,1.732401611,-0.4320204667
32,7.400483627,1.576467466,-0.6225074264,7.198348717,1.810011035,-0.9255446598,6.986613866,1.313267625,0.05049852855,7.198004483,1.451015782,0.114999895,7.528805905,1.653516069,-0.05256446547,7.908715723,1.961546592,-1.504185611,7.246660689,1.487642753,-0.1206965705,7.091658052,1.460330409,-1.346410092,6.935234202,1.373927855,-1.144769884,7.205288689,1.530095386,-1.351772538,7.188630858,1.533584488,-1.472801567,6.952546015,1.319071968,-0.621710088,7.376892006,1.59063994,-0.7352867917,7.890022388,1.90214891,-0.828735317,7.886590283,1.915359338,-0.9422025456,7.631207929,1.730144244,-0.4274951176
33,7.396358906,1.573988577,-0.61786281,7.194410029,1.807553482,-0.9209222048,6.982352516,1.310887297,0.05509381047,7.193435689,1.448285016,0.1191574978,7.524285437,1.650528034,-0.04823102187,7.905134966,1.959348341,-1.499227673,7.242315087,1.485120401,-0.116382639,7.087726326,1.458007726,-1.342249516,6.931646848,1.37121124,-1.140617146,7.201486332,1.527707424,-1.347336252,7.18437172,1.530625022,-1.466681054,6.947959082,1.316953051,-0.6173676392,7.372992997,1.587830429,-0.7305004765,7.885412684,1.899312306,-0.8223445092,7.881637918,1.912349514,-0.9364802061,7.62705617,1.727698736,-0.4226392263
34,7.39224269,1.57157536,-0.6126346171,7.190624686,1.804905058,-0.9158019837,6.978714356,1.308294456,0.06022805654,7.188890799,1.445685523,0.1237522214,7.519784651,1.647473554,-0.04352847857,7.901655762,1.95704421,-1.493901974,7.238099897,1.482721616,-0.1114308857,7.08393111,1.455426972,-1.337607144,6.928338934,1.368222153,-1.135890823,7.198005091,1.525165509,-1.342418999,7.180311104,1.527417402,-1.460101454,6.943272912,1.314948971,-0.6124191774,7.369380661,1.584695817,-0.7251596181,7.880811167,1.896355465,-0.8152551814,7.87604302,1.908792193,-0.9296891904,7.623063598,1.725235102,-0.4171240931
35,7.38822528,1.569230883,-0.6070233242,7.186958876,1.802252035,-0.9103343899,6.975257616,1.30578865,0.06573644154,7.184468238,1.4431581,0.1287439919,7.515406756,1.644542113,-0.03842961752,7.898300732,1.954714439,-1.488259116,7.233979808,1.480442803,-0.1060520228,7.080294877,1.452780352,-1.332534054,6.925208571,1.365142455,-1.130759395,7.194711166,1.522596277,-1.337138409,7.176442116,1.524205696,-1.45334221,6.938700427,1.312953873,-0.6070765641,7.365904418,1.581598501,-0.719427243,7.876353986,1.893488794,-0.807918594,7.870514756,1.905228051,-0.922516227,7.619194049,1.72282321,-0.4112255627
36,7.384310655,1.566740792,-0.6014040946,7.183289711,1.799569883,-0.9048375732,6.971465678,1.303455639,0.07128613307,7.180195825,1.440424878,0.1339216232,7.5111842,1.641698558,-0.03308514686,7.894991602,1.952217604,-1.482533662,7.229844091,1.478062404,-0.1006289102,7.076732462,1.450055451,-1.327248684,6.92204978,1.361951119,-1.125556056,7.191364658,1.519919128,-1.331782194,7.172649271,1.521027371,-1.446852218,6.93436282,1.310654478,-0.6017165115,7.36232467,1.578684777,-0.7136410478,7.872093382,1.890695442,-0.8009703927,7.865676185,1.901971826,-0.9158309118,7.615333486,1.720308741,-0.4053992237
37,7.380397303,1.564056585,-0.5961141462,7.179511795,1.796844659,-0.8996155985,6.967318022,1.301156078,0.07648623191,7.175977404,1.437385376,0.1388778094,7.507059919,1.638791572,-0.02784763699,7.891575771,1.949601254,-1.477075281,7.225591034,1.475524435,-0.09548063211,7.073132763,1.447277885,-1.322064025,6.918846462,1.358500672,-1.120606915,7.187889276,1.51720582,-1.326718195,7.168744569,1.517902748,-1.440986806,6.930040011,1.308029269,-0.596686788,7.358589705,1.575894148,-0.7081419257,7.86797127,1.888034858,-0.7949428819,7.86124587,1.898933369,-0.909859288,7.611417028,1.717575578,-0.4000516738
38,7.376453622,1.561296147,-0.5909767052,7.175678407,1.794064378,-0.8945256526,6.963186996,1.298778092,0.08146729144,7.171767535,1.43420992,0.1436418371,7.502997519,1.635785964,-0.02271302209,7.888050459,1.946949209,-1.471832411,7.221272039,1.47296963,-0.09041109051,7.069524617,1.444427028,-1.316902231,6.915759833,1.354701527,-1.115746784,7.184438177,1.51451004,-1.321845282,7.16474047,1.514771184,-1.435529473,6.925561221,1.305278235,-0.5918026191,7.354863025,1.573076953,-0.7027849044,7.863939301,1.885541653,-0.7895948228,7.856671976,1.895830769,-0.9040392451,7.607511455,1.714677922,-0.3949976875
39,7.372566223,1.558502297,-0.5856758481,7.171884497,1.791229784,-0.8892859101,6.959120734,1.296432358,0.08658689057,7.167646878,1.431006016,0.1485725256,7.499039068,1.632803564,-0.01737414118,7.884542836,1.944213533,-1.466502166,7.216983364,1.470459838,-0.0851140867,7.066008396,1.44146234,-1.311480156,6.912824979,1.350653766,-1.110660298,7.181092036,1.511764136,-1.31682989,7.160798808,1.51159344,-1.430153219,6.921096717,1.302432624,-0.5867315702,7.351205504,1.570258229,-0.6972590304,7.860045491,1.883172111,-0.7844686235,7.852153841,1.892706585,-0.898123566,7.603679839,1.71171381,-0.3898790952
40,7.368702142,1.555672644,-0.5803063251,7.168103963,1.788346989,-0.8839852449,6.955059341,1.294099873,0.09176561655,7.163594267,1.427735652,0.1536053757,7.495126361,1.629834196,-0.01192772894,7.881046609,1.941412651,-1.461150997,7.212713791,1.467943889,-0.07970255727,7.062539668,1.438413699,-1.305932863,6.909935277,1.346503566,-1.105458837,7.177788713,1.508967795,-1.311749952,7.156935212,1.50841479,-1.424941687,6.916688997,1.299493194,-0.581575556,7.3475555,1.567434805,-0.6916616737,7.856222381,1.880850324,-0.7794847631,7.847772696,1.889588177,-0.8922409562,7.599876312,1.708700024,-0.3847330517
